Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.7762894883,4.10323609059,0.00245554753515,0.0,4.58992532963,8.1892,34.7169042475,24.4503349736,3.33988,6.92668927388
 01/01  02:00:00,14.8176409964,0.0,0.0,0.0,1.52997510988,7.4902,3.93193776232,0.0,3.33988,0.592057762316
 01/01  03:00:00,14.8468589279,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  04:00:00,14.8571895283,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,15.0098705234,0.0,0.0,0.0,1.52997510988,7.4902,3.93194368847,0.0,3.33988,0.592063688465
 01/01  06:00:00,22.8789107391,4.10323609059,0.0,0.0,4.58992532963,8.1892,40.4070132772,32.0373132772,8.3497,0.02
 01/01  07:00:00,38.8573357253,4.10323609059,0.022592869971,0.0,9.17985065927,19.4245,47.3506673093,26.0374311933,16.6994,4.61383611596
 01/01  08:00:00,44.2075639185,4.10323609059,0.0201946318264,0.0,9.17985065927,26.9147,44.0388578245,14.3767400577,25.0491,4.61301776681
 01/01  09:00:00,42.0950039719,4.10323609059,0.0,0.0,9.17985065927,26.9147,48.7752135636,10.7643939902,33.3988,4.61201957338
 01/01  10:00:00,34.6303984608,4.10323609059,0.0,0.0,9.17985065927,19.4245,42.855157848,13.7664007584,25.0491,4.03965708955
 01/01  11:00:00,42.1605637072,4.10323609059,0.0320712746797,0.0,9.17985065927,26.9147,66.9795949112,10.7238398232,41.7485,14.507255088
 01/01  12:00:00,42.8436428055,4.10323609059,0.0,0.0,9.17985065927,26.9147,64.0553963853,8.37758085163,41.7485,13.9293155336
 01/01  13:00:00,42.1839896086,4.10323609059,0.0,0.0,9.17985065927,26.9147,57.2117454237,3.88073069085,41.7485,11.5825147329
 01/01  14:00:00,34.6492190517,4.10323609059,0.0,0.0,9.17985065927,19.4245,52.7461773208,7.76755854054,33.3988,11.5798187802
 01/01  15:00:00,34.6572704603,4.10323609059,0.0,0.0,9.17985065927,19.4245,44.7686475347,11.0524018752,25.0491,8.66714565953
 01/01  16:00:00,34.6536215336,4.10323609059,0.0,0.0,9.17985065927,19.4245,53.6932897474,11.627470397,33.3988,8.66701935037
 01/01  17:00:00,42.1111031407,4.10323609059,0.0264126726933,0.0,9.17985065927,26.9147,64.9665371735,6.20156425204,50.0982,8.66677292148
 01/01  18:00:00,46.351363371,4.10323609059,0.0149242090807,0.0,9.17985065927,26.9147,64.2871710591,2.61129405488,50.0982,11.5776770042
