Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,975.032659769,97.2895574348,598.152588014,0.0,34.9616554283,113.312780494,567.697883359,553.300581082,5.66466996096,8.73263231621
 01/01  02:00:00,956.223563479,97.2895574348,579.64584911,0.0,34.9616554283,113.312780494,583.129251268,560.02056833,5.66466996096,17.4440129769
 01/01  03:00:00,947.36444423,97.2895574348,570.152491615,0.0,34.9616554283,113.312780494,584.818983528,561.712083976,5.66466996096,17.4422295914
 01/01  04:00:00,944.753937744,97.2895574348,567.390556232,0.0,34.9616554283,113.312780494,587.486307441,564.377944818,5.66466996096,17.4436926616
 01/01  05:00:00,952.296770135,97.2895574348,567.581752984,0.0,44.4937663224,113.312780494,579.180803213,556.071177384,5.66466996096,17.4449558686
 01/01  06:00:00,956.258752871,97.2895574348,571.37742736,0.0,44.4937663224,113.312780494,587.669954656,556.065249639,14.1616749024,17.4430301146
 01/01  07:00:00,1035.31373037,97.2895574348,577.226366548,0.0,54.0258772165,176.889270242,533.582249138,487.817731193,28.3233498048,17.4411681399
 01/01  08:00:00,1039.0395636,97.2895574348,581.181127712,0.0,54.0258772165,184.38654557,533.462722271,482.244531308,42.4850247072,8.73316625568
 01/01  09:00:00,1115.96371332,97.2895574348,585.764077395,0.0,65.1572554096,220.04316451,539.109569409,456.17489311,56.6466996096,26.2879766894
 01/01  10:00:00,1113.31072965,97.2895574348,589.225043792,0.0,65.1572554096,212.545889182,512.852998435,443.946465027,42.4850247072,26.4215087013
 01/01  11:00:00,1118.49241541,97.2895574348,586.247328716,0.0,65.1572554096,220.04316451,547.944029299,441.74103931,70.808374512,35.3946154775
 01/01  12:00:00,1120.92940599,97.2895574348,587.451636159,0.0,65.1572554096,220.04316451,537.91863317,440.546766891,70.808374512,26.5634917677
 01/01  13:00:00,1120.18420419,97.2895574348,587.767979862,0.0,65.1572554096,220.04316451,544.832947359,438.622719579,70.808374512,35.4018532675
 01/01  14:00:00,1110.46247331,97.2895574348,585.216057564,0.0,65.1572554096,212.545889182,520.650483809,437.45354835,56.6466996096,26.5502358487
 01/01  15:00:00,1102.32908431,97.2895574348,576.403607195,0.0,65.1572554096,212.545889182,510.319057445,432.424232398,42.4850247072,35.4098003395
 01/01  16:00:00,1097.73107353,97.2895574348,571.484334109,0.0,65.1572554096,212.545889182,517.993566774,425.947446325,56.6466996096,35.3994208398
 01/01  17:00:00,1069.94907937,97.2895574348,568.856597973,0.0,65.1572554096,220.04316451,527.989713681,416.464798441,84.9700494144,26.5548658255
 01/01  18:00:00,1031.22143765,97.2895574348,560.949287822,0.0,54.0258772165,184.38654557,551.860925524,440.469826488,84.9700494144,26.4210496216
 01/01  19:00:00,996.097798904,97.2895574348,555.878218597,0.0,44.4937663224,163.454314868,578.758734085,476.343666037,84.9700494144,17.4450186342
 01/01  20:00:00,982.865339165,97.2895574348,548.986129359,0.0,44.4937663224,155.95703954,552.992149837,478.902348189,56.6466996096,17.4431020388
 01/01  21:00:00,954.725085869,97.2895574348,552.455235347,0.0,44.4937663224,124.558693486,587.920602981,513.832661088,56.6466996096,17.4412422836
 01/01  22:00:00,955.157546064,97.2895574348,553.349440739,0.0,44.4937663224,124.558693486,577.380993075,517.450080458,42.4850247072,17.4458879089
 01/01  23:00:00,943.215365348,97.2895574348,551.410592174,0.0,34.9616554283,124.558693486,576.468486876,530.701251822,28.3233498048,17.4438852488
 01/01  24:00:00,944.76077977,97.2895574348,551.928177844,0.0,34.9616554283,124.558693486,564.863518927,533.259840411,14.1616749024,17.4420036134
 01/02  01:00:00,940.616480596,97.2895574348,548.803749842,0.0,46.0930336215,113.312780494,544.273854562,529.87875227,5.66466996096,8.73043233066
 01/02  02:00:00,938.554073666,97.2895574348,546.677525265,0.0,46.0930336215,113.312780494,551.748439607,528.637620865,5.66466996096,17.4461487814
 01/02  03:00:00,941.868116088,97.2895574348,550.179106946,0.0,46.0930336215,113.312780494,554.846530406,531.737616874,5.66466996096,17.4442435704
 01/02  04:00:00,944.035870144,97.2895574348,552.445742781,0.0,46.0930336215,113.312780494,557.482302476,534.375216341,5.66466996096,17.4424161735
 01/02  05:00:00,1033.63119487,97.2895574348,551.585749006,0.0,100.150657288,148.969399434,519.086351535,495.97602152,5.66466996096,17.4456600541
 01/02  06:00:00,1025.57535459,97.2895574348,541.129037154,0.0,100.150657288,149.894399434,1062.97524639,1031.36834803,14.1616749024,17.4452234577
 01/02  07:00:00,1253.94100426,97.2895574348,540.677741562,0.0,176.471037341,302.612436532,688.439309753,642.672629424,28.3233498048,17.4433305241
 01/02  08:00:00,1374.29174762,97.2895574348,545.769606541,0.0,243.2593065,310.10971186,629.980760012,561.052710692,42.4850247072,26.443024612
 01/02  09:00:00,1409.86382014,97.2895574348,548.091166722,0.0,243.2593065,310.10971186,602.001506876,509.909237439,56.6466996096,35.445569828
 01/02  10:00:00,1439.77185152,97.2895574348,544.559604371,0.0,243.2593065,302.612436532,558.595193084,480.505297684,42.4850247072,35.604870692
 01/02  11:00:00,1441.86332751,97.2895574348,538.907790331,0.0,243.2593065,310.10971186,563.285828459,447.655638074,70.808374512,44.821815873
 01/02  12:00:00,1438.90414126,97.2895574348,534.686933727,0.0,243.2593065,310.10971186,538.941634621,423.213925055,70.808374512,44.9193350547
 01/02  13:00:00,1393.10149572,97.3013909104,530.497896418,0.0,243.2593065,310.10971186,511.163886224,395.714190703,70.808374512,44.641321009
 01/02  14:00:00,1424.71181872,97.5581311625,528.434242595,0.0,243.2593065,302.612436532,476.871208809,375.307939932,56.6466996096,44.9165692674
 01/02  15:00:00,1424.2073031,98.0478279487,527.40472728,0.0,243.2593065,302.612436532,440.996386398,353.690356845,42.4850247072,44.8210048457
 01/02  16:00:00,1423.69241713,98.2967617262,526.651269884,0.0,243.2593065,302.612436532,440.601160945,339.236662338,56.6466996096,44.7177989968
 01/02  17:00:00,1434.05095908,98.3174529274,530.524947545,0.0,243.2593065,310.10971186,463.014225201,342.489901514,84.9700494144,35.5542742735
 01/02  18:00:00,1455.98321773,98.2888827188,537.351336473,0.0,243.2593065,310.10971186,475.750411466,364.432147123,84.9700494144,26.3482149286
