Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,72.6483464254,13.8743210737,24.2354492757,0.0,4.12243109448,15.9888894789,54.7827709893,51.7910405714,2.97173041782,0.02
 01/02  02:00:00,87.4135717788,20.458412334,32.2267539203,0.0,4.12243109448,15.9888894789,93.1505812391,90.1588508213,2.97173041782,0.02
 01/02  03:00:00,66.5861898281,11.9442207987,20.1508503794,0.0,4.12243109448,15.9888894789,49.2978195995,46.3060891816,2.97173041782,0.02
 01/02  04:00:00,89.1237973641,20.5842196426,33.8349009242,0.0,4.12243109448,15.9888894789,86.1886290293,83.1968986114,2.97173041782,0.02
 01/02  05:00:00,127.6372085,29.2696708801,46.2519550969,0.0,12.3672932834,24.9413748627,109.291893929,104.3190099,4.9528840297,0.02
 01/02  06:00:00,137.995135795,29.5570714791,49.7593718823,6.56310991576,12.3672932834,24.9413748627,178.755126888,173.782242858,4.9528840297,0.02
 01/02  07:00:00,200.743137029,30.7647471405,55.1385177354,4.57880863249,24.7345865669,70.7195625826,145.184318836,135.258550777,9.90576805939,0.02
 01/02  08:00:00,227.427593794,31.1045536861,56.2069707067,2.86017440474,37.1018798503,92.3937384068,126.040899337,116.115131278,9.90576805939,0.02
 01/02  09:00:00,231.442504447,31.3057291764,56.3407002258,1.54423159971,37.1018798503,104.434947198,118.749786099,108.82401804,9.90576805939,0.02
 01/02  10:00:00,244.905566315,31.5384217538,58.2861796404,0.787460545868,37.1018798503,116.476155989,122.818158072,104.281706753,9.90576805939,8.63068325942
 01/02  11:00:00,247.789058395,31.7661786348,61.2601513642,0.46860261089,37.1018798503,116.476155989,110.745536446,100.819768387,9.90576805939,0.02
 01/02  12:00:00,250.658630477,31.9483151599,64.0815151146,0.334427345267,37.1018798503,116.476155989,116.719906989,98.1765051444,9.90576805939,8.63763378544
 01/02  13:00:00,242.4820451,32.4324614387,67.5539661646,0.243075883339,37.1018798503,104.434947198,104.164113355,94.2383452958,9.90576805939,0.02
 01/02  14:00:00,257.414463717,32.9775795918,69.9472789314,0.195234179555,37.1018798503,116.476155989,108.34957268,89.8060361567,9.90576805939,8.63776846344
 01/02  15:00:00,258.831347562,33.4626179054,70.9103836457,0.164210096321,37.1018798503,116.476155989,96.3656638776,86.4398958182,9.90576805939,0.02
 01/02  16:00:00,259.11678022,33.5736338163,71.0920859026,0.157128928662,37.1018798503,116.476155989,103.660933565,85.1210606983,9.90576805939,8.63410480678
 01/02  17:00:00,255.13525021,33.2107575226,67.3693330514,0.261844629383,37.1018798503,116.476155989,96.4254899163,86.4997218569,9.90576805939,0.02
 01/02  18:00:00,263.725594086,32.51279475,62.394630065,0.431016982469,37.1018798503,116.476155989,109.020183217,90.4950638596,9.90576805939,8.61935129818
 01/02  19:00:00,165.875833709,29.4060280609,49.348530631,0.0,24.7345865669,47.5788473902,74.7372604308,69.7643764011,4.9528840297,0.02
