Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.5619252862,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.5255769529,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.5299907165,0.0,0.0,0.0,15.863942322,29.242365,6.08861979683,0.0,3.20568,2.88293979683
 01/01  04:00:00,55.5281933697,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.7451315291,0.0,0.0,0.0,15.863942322,29.242365,6.08854766782,0.0,3.20568,2.88286766782
 01/01  06:00:00,55.7403541038,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  07:00:00,55.7596932134,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,51.4053824181,0.0,0.0,0.0,15.863942322,29.242365,6.08863577721,0.0,3.20568,2.88295577721
 01/01  09:00:00,47.1274320349,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  10:00:00,47.1592758262,0.0,0.0,0.0,15.863942322,29.242365,6.0902726682,0.0,3.20568,2.8845926682
 01/01  11:00:00,47.1557738731,0.0,0.0,0.0,15.863942322,29.242365,6.09015102045,0.0,3.20568,2.88447102045
 01/01  12:00:00,47.8247389257,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  13:00:00,47.1335842295,0.0,0.0,0.0,15.863942322,29.242365,6.09027354557,0.0,3.20568,2.88459354557
 01/01  14:00:00,47.1622470556,0.0,0.0,0.0,15.863942322,29.242365,6.09015190535,0.0,3.20568,2.88447190535
 01/01  15:00:00,47.1775132826,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,47.1727295095,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  17:00:00,47.0851082916,0.0,0.0,0.0,15.863942322,29.242365,6.08855886323,0.0,3.20568,2.88287886323
 01/01  18:00:00,55.6668708472,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  19:00:00,55.6761096747,0.0,0.0,0.0,15.863942322,29.242365,6.08864697358,0.0,3.20568,2.88296697358
 01/01  20:00:00,55.9250201887,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,55.9093859165,0.0,0.0,0.0,15.863942322,29.242365,6.08857485754,0.0,3.20568,2.88289485754
