Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.7903041597,2.22109916214,0.0,0.0,1.85583932782,5.577,11.7320056337,6.41850392593,3.0011,2.31240170778
 01/01  02:00:00,9.65323687043,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.69003508654,0.0,0.0,0.0,0.618613109274,5.0,3.59315084148,0.0,3.0011,0.592050841484
 01/01  04:00:00,9.70040096186,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.85237649098,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,13.8923797391,2.22109916214,0.0,0.0,1.85583932782,5.577,15.2524526588,10.1587071037,4.50165,0.592095555151
 01/01  07:00:00,28.3755830893,2.22109916214,0.0,0.0,3.71167865564,18.077,20.5861870295,5.34363974603,13.50495,1.73759728345
 01/01  08:00:00,27.0785453089,2.22109916214,0.0,0.0,3.71167865564,18.077,25.5773672262,3.40456411651,21.0077,1.16510310973
 01/01  09:00:00,20.8262513584,2.22109916214,0.0,0.0,3.71167865564,13.077,20.005014467,3.26133687513,15.0055,1.73817759191
 01/01  10:00:00,20.8627587692,2.22109916214,0.0,0.0,3.71167865564,13.077,17.9276294137,1.75664019691,15.0055,1.16548921677
 01/01  11:00:00,25.8770211106,2.22109916214,0.0,0.0,3.71167865564,18.077,38.5228137182,0.896129103415,33.0121,4.61458461483
 01/01  12:00:00,26.9798289448,2.22109916214,0.0,0.0,3.71167865564,18.077,45.12853975,0.0,40.51485,4.61368974997
 01/01  13:00:00,26.1353655602,2.22109916214,0.00674366994036,0.0,3.71167865564,18.077,39.47501124,0.0,36.0132,3.46181123998
 01/01  14:00:00,25.8997179678,2.22109916214,0.0,0.0,3.71167865564,18.077,35.5479293983,0.0,31.51155,4.03637939826
 01/01  15:00:00,20.9046695504,2.22109916214,0.0,0.0,3.71167865564,13.077,24.160798054,0.840047859053,21.0077,2.31305019492
 01/01  16:00:00,20.8992440331,2.22109916214,0.0,0.0,3.71167865564,13.077,23.1577128842,0.764182019166,19.50715,2.88638086507
 01/01  17:00:00,20.8281707667,2.22109916214,0.0,0.0,3.71167865564,13.077,25.4855849069,0.0911866669584,22.50825,2.88614823998
 01/01  18:00:00,28.375538458,2.22109916214,0.0,0.0,3.71167865564,18.077,28.9716736492,0.0,25.50935,3.46232364922
 01/01  19:00:00,28.4102582842,2.22109916214,0.00906811795024,0.0,3.71167865564,18.077,30.1236749773,0.0,25.50935,4.61432497727
 01/01  20:00:00,28.5790698153,2.22109916214,0.0,0.0,3.71167865564,18.077,30.1229360047,0.0,25.50935,4.61358600471
 01/01  21:00:00,23.5660710324,2.22109916214,0.0,0.0,3.71167865564,13.077,25.9699838064,0.0,22.50825,3.46173380635
 01/01  22:00:00,23.489994524,2.22109916214,0.0,0.0,3.71167865564,13.077,25.6215444967,0.0,21.0077,4.6138444967
 01/01  23:00:00,23.3782442851,2.22109916214,0.0,0.0,3.71167865564,13.077,21.4686273985,0.0,18.0066,3.46202739853
 01/01  24:00:00,24.5196353031,2.22109916214,0.0,0.0,3.71167865564,13.077,5.31239153526,0.0,3.0011,2.31129153526
 01/02  01:00:00,14.1063514311,2.22109916214,0.0,0.0,1.85583932782,5.577,4.84415656821,0.104351050841,3.0011,1.73870551737
 01/02  02:00:00,9.7976747116,0.0,0.0,0.0,0.618613109274,5.0,3.59316830829,0.0,3.0011,0.592068308287
 01/02  03:00:00,9.81214992143,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  04:00:00,9.81805673751,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  05:00:00,9.98216201026,0.0,0.0,0.0,0.618613109274,5.0,3.59317421766,0.0,3.0011,0.592074217658
 01/02  06:00:00,14.0347205472,2.22109916214,0.0,0.0,1.85583932782,5.577,5.81796653892,1.29631653892,4.50165,0.02
 01/02  07:00:00,28.5280863483,2.22109916214,0.00654649999389,0.0,3.71167865564,18.077,15.242923665,0.0,13.50495,1.73797366505
 01/02  08:00:00,27.2307756075,2.22109916214,0.00830091375933,0.0,3.71167865564,18.077,26.1991691441,0.0,21.0077,5.19146914407
 01/02  09:00:00,20.9556515382,2.22109916214,0.0,0.0,3.71167865564,13.077,20.1953269991,0.0,15.0055,5.18982699912
 01/02  10:00:00,20.9743921633,2.22109916214,0.0,0.0,3.71167865564,13.077,19.0435464052,0.0,15.0055,4.03804640523
 01/02  11:00:00,26.0242089238,2.22109916214,0.025594634979,0.0,3.71167865564,18.077,36.4751378081,0.0,33.0121,3.46303780807
 01/02  12:00:00,27.8878012668,2.22109916214,0.768610959047,0.0,3.71167865564,18.077,44.5523395224,0.0,40.51485,4.03748952238
 01/02  13:00:00,27.9475389903,2.22109916214,1.62758154868,0.0,3.71167865564,18.077,39.4760179002,0.0,36.0132,3.46281790018
 01/02  14:00:00,27.819012936,2.22109916214,1.74336545302,0.0,3.71167865564,18.077,34.972814196,0.0,31.51155,3.46126419605
 01/02  15:00:00,22.294822105,2.22109916214,1.22026906612,0.0,3.71167865564,13.077,23.8944134996,0.0,21.0077,2.88671349958
 01/02  16:00:00,22.0159400466,2.22109916214,0.953462649421,0.0,3.71167865564,13.077,22.3936112632,0.0,19.50715,2.88646126317
 01/02  17:00:00,21.5373533396,2.22109916214,0.578669303503,0.0,3.71167865564,13.077,25.3952220938,0.0,22.50825,2.88697209385
 01/02  18:00:00,29.018209415,2.22109916214,0.548812815791,0.0,3.71167865564,18.077,28.9723719309,0.0,25.50935,3.46302193094
 01/02  19:00:00,28.8978014536,2.22109916214,0.433692396882,0.0,3.71167865564,18.077,30.1250698813,0.0,25.50935,4.61571988133
 01/02  20:00:00,29.0156702501,2.22109916214,0.384378078882,0.0,3.71167865564,18.077,31.2763383607,0.0,25.50935,5.76698836067
 01/02  21:00:00,23.7141420336,2.22109916214,0.0977372413883,0.0,3.71167865564,13.077,26.5468482588,0.0,22.50825,4.03859825882
 01/02  22:00:00,23.5328688938,2.22109916214,0.0,0.0,3.71167865564,13.077,26.1968395408,0.0,21.0077,5.18913954082
 01/02  23:00:00,23.4039650846,2.22109916214,0.0,0.0,3.71167865564,13.077,22.0444978031,0.0,18.0066,4.0378978031
 01/02  24:00:00,24.546239072,2.22109916214,0.0,0.0,3.71167865564,13.077,5.31315557376,0.0,3.0011,2.31205557376
 01/03  01:00:00,14.1330065986,2.22109916214,0.0,0.0,1.85583932782,5.577,4.76402113195,0.0245590544276,3.0011,1.73836207753
 01/03  02:00:00,9.81401191598,0.0,0.0,0.0,0.618613109274,5.0,3.59319522528,0.0,3.0011,0.592095225279
 01/03  03:00:00,9.83631578908,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  04:00:00,9.84643357836,0.0,0.0,0.0,0.618613109274,5.0,3.59314941567,0.0,3.0011,0.592049415665
 01/03  05:00:00,10.6135092648,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  06:00:00,14.6672007238,2.22109916214,0.0,0.0,1.85583932782,5.577,5.14896082905,0.0552554757121,4.50165,0.592055353341
 01/03  07:00:00,28.8403693155,2.22109916214,0.00832359615166,0.0,3.71167865564,18.077,14.6702792843,0.0,13.50495,1.16532928428
 01/03  08:00:00,27.2718474175,2.22109916214,0.0142925996717,0.0,3.71167865564,18.077,26.7739441843,0.0,21.0077,5.7662441843
