Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,117.788528536,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  02:00:00,117.714292476,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  03:00:00,117.724973013,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  04:00:00,117.723419033,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  05:00:00,118.159761726,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  06:00:00,118.153308102,0.0,0.0,0.0,43.513341876,52.539744,13.4470219259,0.0,4.83426,8.61276192586
 01/01  07:00:00,118.194398918,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  08:00:00,109.096650086,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  09:00:00,100.154048383,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  10:00:00,100.217873253,0.0,0.0,0.0,43.513341876,52.539744,13.4545863218,0.0,4.83426,8.62032632181
 01/01  11:00:00,100.209754005,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  12:00:00,101.031268695,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  13:00:00,100.160701911,0.0,0.0,0.0,43.513341876,52.539744,13.4545942476,0.0,4.83426,8.62033424756
 01/01  14:00:00,100.214808574,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  15:00:00,100.242694363,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  16:00:00,100.232018411,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  17:00:00,100.056295001,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  18:00:00,117.996542107,0.0,0.0,0.0,43.513341876,52.539744,13.4469348999,0.0,4.83426,8.61267489992
 01/01  19:00:00,118.015401483,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  20:00:00,118.513754389,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  21:00:00,118.482827612,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  22:00:00,118.249083116,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  23:00:00,117.91149223,0.0,0.0,0.0,43.513341876,52.539744,13.4468904545,0.0,4.83426,8.61263045454
 01/01  24:00:00,118.758311601,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  01:00:00,117.933173039,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  02:00:00,117.948104961,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  03:00:00,117.931093455,0.0,0.0,0.0,43.513341876,52.539744,13.4544379151,0.0,4.83426,8.62017791509
 01/02  04:00:00,117.918688072,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  05:00:00,118.412942114,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  06:00:00,118.38166568,0.0,0.0,0.0,43.513341876,52.539744,13.4544596552,0.0,4.83426,8.62019965522
 01/02  07:00:00,420.365142983,73.8897113849,222.973464915,0.0,43.513341876,53.238744,180.319331067,175.465071067,4.83426,0.02
 01/02  08:00:00,640.789709675,73.8897113849,275.058612356,0.0,220.879908,53.238744,144.255719875,113.038009364,4.83426,26.3834505107
 01/02  09:00:00,705.916211481,73.8897113849,256.513112679,0.0,220.879908,145.652643033,73.695187925,10.8561310444,36.25695,26.5821068806
 01/02  10:00:00,722.330843243,73.9080950508,272.182236012,0.0,220.879908,145.652643033,88.8522543888,3.41413672458,36.25695,49.1811676643
 01/02  11:00:00,780.538364851,74.2094044494,323.484226643,0.0,220.879908,151.653867033,97.8205986733,0.0,48.3426,49.4779986733
 01/02  12:00:00,851.707453749,74.7257919581,392.830624656,0.0,220.879908,151.653867033,93.4102304678,0.0,48.3426,45.0676304678
 01/02  13:00:00,963.427527151,76.3413350094,503.464627143,0.0,220.879908,151.653867033,102.601492372,0.0,48.3426,54.2588923725
 01/02  14:00:00,1018.57670923,79.0870610755,561.699200604,0.0,220.879908,145.652643033,78.5498794879,0.0148677414136,24.1713,54.3637117465
 01/02  15:00:00,1015.30973206,81.2884359546,556.235522438,0.0,220.879908,145.652643033,77.9695255597,0.0,24.1713,53.7982255597
 01/02  16:00:00,1020.18384934,81.7519282712,568.529159808,0.0,220.879908,137.835547516,49.7620307582,0.00578223930389,4.83426,44.9219885189
 01/02  17:00:00,987.952365278,76.5305775848,547.221806916,0.0,220.879908,133.019064,40.4942776617,0.0220579262351,4.83426,35.6379597355
 01/02  18:00:00,733.064542768,74.3024926943,357.061736496,0.0,220.879908,53.238744,49.3731221631,0.0,4.83426,44.5388621631
 01/02  19:00:00,674.812860434,74.0218840354,299.302500744,0.0,220.879908,53.238744,40.6118845359,0.0,4.83426,35.7776245359
 01/02  20:00:00,669.053178227,73.9632403189,293.170771094,0.0,220.879908,53.238744,22.2073186314,0.0,4.83426,17.3730586314
 01/02  21:00:00,699.442822924,73.9436592403,323.39169129,0.0,220.879908,53.238744,16.46863853,2.95006298766,4.83426,8.68431554234
 01/02  22:00:00,118.374283892,0.0,0.0,0.0,43.513341876,52.539744,13.5186551165,0.0,4.83426,8.68439511645
 01/02  23:00:00,118.061438019,0.0,0.0,0.0,43.513341876,52.539744,13.4812410084,0.0,4.83426,8.64698100837
 01/02  24:00:00,118.960916086,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  01:00:00,118.073718044,0.0,0.0,0.0,43.513341876,52.539744,13.4545613748,0.0,4.83426,8.62030137476
 01/03  02:00:00,118.067538942,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  03:00:00,118.063016971,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  04:00:00,118.059213243,0.0,0.0,0.0,43.513341876,52.539744,13.4545960985,0.0,4.83426,8.6203360985
 01/03  05:00:00,120.545951452,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  06:00:00,120.162695826,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  07:00:00,600.551782902,73.8897113849,401.167547521,0.0,43.513341876,53.238744,57.4383990017,52.5841390017,4.83426,0.02
 01/03  08:00:00,774.512407115,73.8897113849,407.516774044,0.0,220.879908,53.238744,62.1590947695,30.9383179834,4.83426,26.3865167861
 01/03  09:00:00,939.839265506,74.9458673982,487.619121147,0.0,220.879908,145.652643033,71.7044889957,0.00471649208198,36.25695,35.4428225037
 01/03  10:00:00,996.065531799,76.2398521525,541.735414445,0.0,220.879908,145.652643033,81.0748130976,0.0,36.25695,44.8178630976
 01/03  11:00:00,1005.66991636,78.0347236997,543.105834194,0.0,220.879908,151.653867033,93.2199886563,0.0,48.3426,44.8773886563
 01/03  12:00:00,1029.72039609,78.2690151001,565.824214258,0.0,220.879908,151.653867033,102.421788046,0.0,48.3426,54.079188046
 01/03  13:00:00,1036.55827658,79.7288501256,571.903984004,0.0,220.879908,151.653867033,102.589106098,0.0,48.3426,54.2465060985
 01/03  14:00:00,1010.64954388,79.6404458012,552.248658072,0.0,220.879908,145.652643033,78.5373692063,0.0117206535076,24.1713,54.3543485528
 01/03  15:00:00,993.681667277,79.3487490024,536.228661278,0.0,220.879908,145.652643033,69.0319596039,0.0192746363177,24.1713,44.8413849676
 01/03  16:00:00,986.187731664,78.8879064316,537.326423948,0.0,220.879908,137.835547516,49.7624972487,0.00868622241352,4.83426,44.9195510263
 01/03  17:00:00,972.869915739,75.7786843248,532.460914656,0.0,220.879908,133.019064,49.3905389276,0.0133950130512,4.83426,44.5428839145
 01/03  18:00:00,827.730179505,74.2337957978,450.999949072,0.0,220.879908,53.238744,40.4758195377,0.0,4.83426,35.6415595377
 01/03  19:00:00,782.662590098,74.0883801459,406.267559179,0.0,220.879908,53.238744,50.5844576273,1.02679368409,4.83426,44.7234039432
 01/03  20:00:00,780.358688466,74.046037433,404.02896689,0.0,220.879908,53.238744,13.9530719483,0.421750069812,4.83426,8.69706187851
 01/03  21:00:00,801.18817022,74.029228681,424.794655466,0.0,220.879908,53.238744,23.7618557315,1.57780421622,4.83426,17.3497915153
 01/03  22:00:00,118.047550991,0.0,0.0,0.0,43.513341876,52.539744,13.51928154,0.0,4.83426,8.68502154001
 01/03  23:00:00,118.095705799,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  24:00:00,118.985684914,0.0,0.0,0.0,43.513341876,52.539744,13.4698471066,0.0,4.83426,8.63558710656
 01/04  01:00:00,118.101639382,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  02:00:00,118.094409826,0.0,0.0,0.0,43.513341876,52.539744,13.4547094747,0.0,4.83426,8.62044947472
 01/04  03:00:00,118.089254617,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  04:00:00,118.084482813,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  05:00:00,118.583491645,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  06:00:00,118.547014315,0.0,0.0,0.0,43.513341876,52.539744,13.4547538964,0.0,4.83426,8.62049389641
 01/04  07:00:00,611.107051815,73.8897113849,412.33644607,0.0,43.513341876,53.238744,49.2608986148,44.4066386148,4.83426,0.02
 01/04  08:00:00,514.306806876,73.8897113849,150.124680201,0.0,220.879908,53.238744,270.374182531,239.15730757,4.83426,26.3826149605
 01/04  09:00:00,445.322554807,74.0647049978,0.00223630003604,0.0,220.879908,145.652643033,608.446159914,536.745236385,36.25695,35.4439735289
 01/04  10:00:00,445.744835426,74.1144813288,0.0,0.0,220.879908,145.652643033,856.614633007,775.53519249,36.25695,44.8224905169
 01/04  11:00:00,452.039678399,74.0821279128,0.001782212213,0.0,220.879908,151.653867033,944.981252091,851.751924791,48.3426,44.8867273001
 01/04  12:00:00,453.495826689,74.0425348093,0.0,0.0,220.879908,151.653867033,989.775433641,887.360056119,48.3426,54.0727775216
 01/04  13:00:00,452.837421439,74.0476861368,0.0,0.0,220.879908,151.653867033,999.142182081,896.559925825,48.3426,54.2396562566
 01/04  14:00:00,447.214315151,74.178786178,0.0,0.0,220.879908,145.652643033,1036.95074212,958.432241753,24.1713,54.3472003666
 01/04  15:00:00,447.067312547,74.07276931,0.0,0.0,220.879908,145.652643033,1082.2674152,1013.25485191,24.1713,44.8412632868
 01/04  16:00:00,439.136051522,74.0225632648,0.0,0.0,220.879908,137.835547516,1040.17677349,990.415366761,4.83426,44.927146727
 01/04  17:00:00,433.918566568,73.8897113849,0.0,0.0,220.879908,133.019064,998.893551926,949.511661933,4.83426,44.5476299927
 01/04  18:00:00,369.059984598,73.8897113849,0.0,0.0,220.879908,53.238744,1128.97887597,1088.50635501,4.83426,35.6382609592
 01/04  19:00:00,372.054214548,73.8897113849,0.0,0.0,220.879908,53.238744,1188.86581785,1139.3065705,4.83426,44.7249873489
 01/04  20:00:00,372.453751612,73.8897113849,0.0,0.0,220.879908,53.238744,1198.98904744,1185.45744861,4.83426,8.69733883229
 01/04  21:00:00,372.428848822,73.8897113849,0.0,0.0,220.879908,53.238744,1258.00861679,1244.48943584,4.83426,8.68492094809
 01/04  22:00:00,117.649048417,0.0,0.0,0.0,43.513341876,52.539744,22.1853164343,0.0,4.83426,17.3510564343
 01/04  23:00:00,117.456264695,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  24:00:00,118.553243115,0.0,0.0,0.0,43.513341876,52.539744,13.4696348257,0.0,4.83426,8.63537482571
 01/05  01:00:00,117.51681806,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  02:00:00,117.522646238,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  03:00:00,117.514293072,0.0,0.0,0.0,43.513341876,52.539744,13.4546800318,0.0,4.83426,8.62042003179
 01/05  04:00:00,146.758275738,1.87814922259,26.762248268,0.0,43.513341876,52.539744,5.39086208212,0.536602082122,4.83426,0.02
 01/05  05:00:00,185.406215795,3.29543753596,63.131004409,0.0,43.513341876,52.539744,6.04110160816,1.18684160816,4.83426,0.02
 01/05  06:00:00,220.936373442,10.2904319165,91.3487343585,0.0,43.513341876,52.539744,17.7221641627,4.26742613128,4.83426,8.62047803142
