Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,42.1152295393,6.08167008773,5.46713259746,0.0,12.925468867,10.100111941,7.71003052595,7.69003052595,0.0,0.02
 01/01  02:00:00,40.4936784119,5.94879818549,3.97966128065,0.0,12.925468867,10.100111941,16.5195109136,10.7590966227,0.0,5.76041429094
 01/01  03:00:00,35.0610412018,5.85808889839,3.25676961807,0.0,8.34152022915,10.0650221343,16.1391915075,10.3788860361,0.0,5.76030547138
 01/01  04:00:00,34.5699662847,5.80347107457,2.82031510169,0.0,8.34152022915,10.0650221343,10.5460434695,10.5260434695,0.0,0.02
 01/01  05:00:00,35.9323894059,5.77400335744,2.60549579794,0.0,8.34152022915,11.6705166398,16.4268956098,10.659980425,0.0,5.76691518476
 01/01  06:00:00,40.0904572732,5.76842657358,2.61073938326,0.0,8.80141237637,15.3678112995,15.1548067953,9.38127223206,0.0,5.77353456321
 01/01  07:00:00,61.3343876191,5.89854776843,3.74775936937,0.0,18.5082010057,25.6353820695,19.6664189975,8.11421656228,0.0,11.5522024352
 01/01  08:00:00,76.9299968223,6.22162209074,6.33305103736,0.0,19.4926561212,41.1001056674,18.9808964042,7.36182341059,0.0,11.6190729936
 01/01  09:00:00,102.507604732,6.70778312173,11.4347601787,0.0,26.3286599382,57.9988325916,44.0420248193,2.54066709574,0.0,41.5013577235
 01/01  10:00:00,87.8351662759,6.48609534694,12.2578914244,0.0,26.2443270014,42.8153538416,48.3403815493,0.844140982358,18.025,29.4712405669
 01/01  11:00:00,60.5141974737,6.04807674561,9.24983595371,0.0,21.7447113004,23.4437158914,49.1327881743,1.73143739724,18.025,29.3763507771
 01/01  12:00:00,57.4399981489,5.98151148232,8.64442451591,0.0,19.3449162599,23.4437158914,43.2114793412,1.73780216161,18.025,23.4486771796
 01/01  13:00:00,57.278056441,5.96223940307,8.35977564309,0.0,19.190480192,23.7425572507,44.025140522,2.61112511508,18.025,23.3890154069
 01/01  14:00:00,56.9239265147,5.93836090804,8.00340052406,0.0,19.260583323,23.698576057,42.4389130816,1.02875587186,18.025,23.3851572097
 01/01  15:00:00,57.0509365156,5.94793890249,8.12083454196,0.0,19.260583323,23.698576057,36.2674347081,0.691701772696,18.025,17.5507329354
 01/01  16:00:00,57.0169768298,5.96938124037,8.35538516375,0.0,19.260583323,23.4086260847,43.0015493156,1.58057282754,18.025,23.3959764881
 01/01  17:00:00,61.0279530513,5.9963938957,7.88801658804,0.0,19.260583323,27.8781056672,24.9508773012,1.15919745684,18.025,5.76667984431
 01/01  18:00:00,76.874278635,6.17492195839,7.39724290639,0.0,18.1807569449,37.5792895564,6.73410657555,0.961603153556,0.0,5.77250342199
 01/01  19:00:00,93.4739392406,6.5206997062,9.75745090875,0.0,32.6059821062,37.0465235296,12.6881529307,1.44050741469,0.0,11.2476455161
 01/01  20:00:00,95.8029588504,6.76713690056,11.6087570906,0.0,36.8143715336,33.066984531,7.4201783788,1.3354008494,0.0,6.0847775294
 01/01  21:00:00,103.238686336,7.02970719741,13.4224091175,0.0,36.43363367,38.8072253906,13.7587508138,2.19382831401,0.0,11.5649224998
