Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,112.272404938,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,106.280549592,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,101.868590898,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91557491896,0.0,1.75125,1.16432491896
 01/01  04:00:00,97.9120893957,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  05:00:00,101.760586735,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,100.31156173,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91556062887,0.0,1.75125,1.16431062887
 01/01  07:00:00,140.451932283,28.1017481884,0.0,0.0,6.98738001645,14.1499734587,199.81778959,196.29528959,3.5025,0.02
 01/01  08:00:00,148.759866836,28.1017481884,0.0,0.0,6.98738001645,14.1499734587,193.351250257,189.828750257,3.5025,0.02
 01/01  09:00:00,178.160359566,28.1017481884,0.0,0.0,6.98738001645,14.1499734587,168.837428412,164.170521151,3.5025,1.16440726118
 01/01  10:00:00,159.123934281,28.1017481884,0.0,0.0,6.98738001645,14.1499734587,151.882256763,148.359756763,3.5025,0.02
 01/01  11:00:00,195.066313024,28.1017481884,0.0830986278058,0.0,27.9495200658,27.7759469175,134.961071592,126.791273152,7.005,1.16479843929
 01/01  12:00:00,223.72094755,28.1017481884,0.0200062338275,0.0,27.9495200658,27.7759469175,127.946099832,119.776289971,7.005,1.16480986104
 01/01  13:00:00,236.43275942,28.1017481884,0.637854184998,0.0,41.9242800987,36.8599292233,114.557180602,104.052202331,9.34,1.16497827113
 01/01  14:00:00,234.675699842,28.1017481884,0.67948572094,0.0,41.9242800987,36.8599292233,115.842215262,105.337344408,9.34,1.1648708538
 01/01  15:00:00,231.857298097,28.1017481884,0.77330709911,0.0,41.9242800987,36.8599292233,108.870712004,99.5107120036,9.34,0.02
 01/01  16:00:00,230.930997807,28.1017481884,0.883215111064,0.0,41.9242800987,36.8599292233,103.314149351,92.8092381839,9.34,1.16491116733
 01/01  17:00:00,232.977946167,28.1017481884,1.02866191762,0.0,41.9242800987,36.8599292233,95.3830163093,84.8781838908,9.34,1.16483241843
 01/01  18:00:00,218.665998952,28.1017481884,0.446441484603,0.0,27.9495200658,27.7759469175,106.895401563,98.725532071,7.005,1.16486949184
 01/01  19:00:00,223.942763876,28.1017481884,0.0,0.0,13.9747600329,18.6919646116,107.67333332,101.838690361,4.67,1.16464295895
 01/01  20:00:00,211.678779936,28.1017481884,0.0,0.0,13.9747600329,18.6919646116,104.715490303,100.025490303,4.67,0.02
 01/01  21:00:00,200.898357129,28.1017481884,0.0,0.0,13.9747600329,18.6919646116,106.586545025,100.751936942,4.67,1.1646080833
 01/01  22:00:00,179.780276333,28.1017481884,0.028148053727,0.0,13.9747600329,18.6919646116,57.6016251207,51.7671331164,4.67,1.16449200437
 01/01  23:00:00,119.809448136,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,150.709595513,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/02  01:00:00,128.638245595,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49923833385,0.0,2.335,1.16423833385
 01/02  02:00:00,119.489757303,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,117.748762659,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  04:00:00,116.545103546,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924421311,0.0,2.335,1.16424421311
 01/02  05:00:00,123.538172135,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  06:00:00,122.601135359,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  07:00:00,175.033217642,28.1017481884,0.0539237345576,0.0,13.9747600329,18.6919646116,101.027833818,96.3378338184,4.67,0.02
 01/02  08:00:00,186.507291982,28.1017481884,0.0188112839398,0.0,13.9747600329,18.6919646116,108.461639313,102.627172333,4.67,1.16446697967
 01/02  09:00:00,253.404936605,28.1017481884,0.71655568592,0.0,34.9369000822,32.3179380704,90.5041781758,81.1670419394,8.1725,1.16463623641
 01/02  10:00:00,283.348539121,28.1017481884,1.99573194917,0.0,62.886420148,41.4019203762,65.5483554461,55.0208554461,10.5075,0.02
 01/02  11:00:00,278.536903281,28.1017481884,2.57820988725,0.0,62.886420148,41.4019203762,52.9359691039,41.2634473466,10.5075,1.16502175734
 01/02  12:00:00,302.827573094,28.1017481884,3.1263223781,0.0,62.886420148,41.4019203762,36.9604090414,24.1422249512,10.5075,2.31068409017
 01/02  13:00:00,292.288351439,28.1017481884,3.60559457603,0.0,62.886420148,41.4019203762,19.8195105366,8.1465788474,10.5075,1.16543168915
 01/02  14:00:00,291.813859491,28.1017481884,3.93179304386,0.0,62.886420148,41.4019203762,13.8419540335,2.16903011218,10.5075,1.1654239213
 01/02  15:00:00,285.975231205,28.1017481884,4.19183897176,0.0,62.886420148,41.4019203762,12.9100046683,1.23732440225,10.5075,1.16518026604
 01/02  16:00:00,282.080649633,28.1017481884,4.46949248095,0.0,62.886420148,41.4019203762,12.8176977547,0.0,10.5075,2.3101977547
 01/02  17:00:00,279.810849703,28.1017481884,4.22510893967,0.0,62.886420148,41.4019203762,14.7137793438,3.04119725129,10.5075,1.16508209247
 01/02  18:00:00,290.399331567,28.1017481884,3.75200730695,0.0,62.886420148,41.4019203762,31.9856050972,20.3129245309,10.5075,1.16518056633
 01/02  19:00:00,284.859355612,28.1017481884,2.94861050157,0.0,41.9242800987,36.8599292233,42.8477182772,32.3426351849,9.34,1.16508309233
 01/02  20:00:00,273.952816454,28.1017481884,2.71615365511,0.0,41.9242800987,36.8599292233,50.7071919117,40.2023974581,9.34,1.16479445363
 01/02  21:00:00,248.005236293,28.1017481884,2.11748735717,0.0,34.9369000822,32.3179380704,53.8748288195,45.6823288195,8.1725,0.02
 01/02  22:00:00,181.072661039,28.1017481884,0.775069249773,0.0,13.9747600329,18.6919646116,19.541107213,13.7065245381,4.67,1.16458267495
 01/02  23:00:00,122.055237488,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  24:00:00,152.799133148,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49934192155,0.0,2.335,1.16434192155
 01/03  01:00:00,128.512566413,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  02:00:00,119.286679154,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  03:00:00,118.779295067,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49926150208,0.0,2.335,1.16426150208
 01/03  04:00:00,118.389821853,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  05:00:00,144.14024487,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  06:00:00,143.909293422,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49922812125,0.0,2.335,1.16422812125
 01/03  07:00:00,197.827142138,28.1017481884,0.161841041585,0.0,13.9747600329,18.6919646116,70.8866177938,66.1966177938,4.67,0.02
