Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.4358465902,3.98274981488,0.00093911978086,0.0,4.58992532963,8.1892,153.780514596,142.933463979,3.33988,7.50717061739
 01/01  02:00:00,14.6338527744,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.6489169361,0.0,0.0,0.0,1.52997510988,7.4902,3.9319701347,0.0,3.33988,0.592090134697
 01/01  04:00:00,14.6552965536,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.8030307616,0.0,0.0,0.0,1.52997510988,7.4902,3.93195019902,0.0,3.33988,0.592070199016
 01/01  06:00:00,22.5673051841,3.98274981488,0.0130763300718,0.0,4.58992532963,8.1892,162.68493346,154.31523346,8.3497,0.02
 01/01  07:00:00,38.5232721367,3.98274981488,0.00819060046526,0.0,9.17985065927,19.4245,163.881555124,142.566855954,16.6994,4.61529917063
 01/01  08:00:00,43.8699954045,3.98274981488,0.00898287018409,0.0,9.17985065927,26.9147,157.358597591,127.119997522,25.0491,5.18950006884
 01/01  09:00:00,41.7562110452,3.98274981488,0.0,0.0,9.17985065927,26.9147,161.521071126,123.509231544,33.3988,4.61303958218
 01/01  10:00:00,34.2714612866,3.98274981488,0.0,0.0,9.17985065927,19.4245,158.879472235,129.216511698,25.0491,4.61386053604
 01/01  11:00:00,41.7734681365,3.98274981488,0.0123182072786,0.0,9.17985065927,26.9147,184.475853907,127.627699341,41.7485,15.0996545655
 01/01  12:00:00,42.539006862,3.98274981488,0.0,0.0,9.17985065927,26.9147,179.436037551,122.587419895,41.7485,15.1001176564
 01/01  13:00:00,41.8142291569,3.98274981488,0.0,0.0,9.17985065927,26.9147,170.413557808,116.497645937,41.7485,12.1674118712
 01/01  14:00:00,34.2919123169,3.98274981488,0.0,0.0,9.17985065927,19.4245,163.286107297,117.722633065,33.3988,12.1646742315
 01/01  15:00:00,34.293761341,3.98274981488,0.0,0.0,9.17985065927,19.4245,156.167597666,121.868606783,25.0491,9.24989088306
 01/01  16:00:00,34.2807380302,3.98274981488,0.0,0.0,9.17985065927,19.4245,166.7390753,124.090944252,33.3988,9.24933104748
