Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,494.218102935,96.6867848119,28.0122063455,0.0,34.9616554283,113.312780494,1444.17292504,1429.76919382,5.66466996096,8.73906125457
 01/01  02:00:00,447.991783974,96.6867848119,0.0,0.0,34.9616554283,113.312780494,1614.70655903,1591.57807387,5.66466996096,17.4638152029
 01/01  03:00:00,449.224748623,96.6867848119,0.0,0.0,34.9616554283,113.312780494,1496.35536562,1473.22705362,5.66466996096,17.4636420416
 01/01  04:00:00,446.13771116,96.6867848119,0.0,0.0,34.9616554283,113.312780494,1258.81703207,1235.68895848,5.66466996096,17.4634036288
 01/01  05:00:00,480.664207215,96.6867848119,4.35520322932,0.0,44.4937663224,113.312780494,1120.11110267,1096.98328301,5.66466996096,17.4631496945
 01/01  06:00:00,495.491357499,96.6867848119,9.76931486631,0.0,44.4937663224,113.312780494,1142.7583438,1111.13377653,14.1616749024,17.4628923688
 01/01  07:00:00,580.517855076,96.6867848119,24.8664311078,0.0,54.0258772165,176.889270242,1035.19057323,989.404588827,28.3233498048,17.462634603
 01/01  08:00:00,587.022406633,96.6867848119,32.7590815084,0.0,54.0258772165,184.38654557,1028.7443653,968.796963478,42.4850247072,17.4623771139
 01/01  09:00:00,664.632553281,96.6867848119,38.6778558235,0.0,65.1572554096,220.04316451,1016.70719144,933.736827561,56.6466996096,26.3236642706
 01/01  10:00:00,661.877349827,96.6867848119,42.0843019777,0.0,65.1572554096,212.545889182,998.304405028,929.354543232,42.4850247072,26.4648370888
 01/01  11:00:00,669.944487637,96.6867848119,41.9345122061,0.0,65.1572554096,220.04316451,1046.99022608,940.704004111,70.808374512,35.477847452
 01/01  12:00:00,675.48207911,96.6867848119,47.352076405,0.0,65.1572554096,220.04316451,1007.44126674,901.158695355,70.808374512,35.4741968754
 01/01  13:00:00,676.415376491,96.6867848119,50.5382857573,0.0,65.1572554096,220.04316451,994.327918353,888.049161831,70.808374512,35.4703820096
 01/01  14:00:00,667.666698132,96.6867848119,50.5604958842,0.0,65.1572554096,212.545889182,994.399875215,902.286608762,56.6466996096,35.4665668435
 01/01  15:00:00,665.24824155,96.6867848119,50.5646956041,0.0,65.1572554096,212.545889182,988.375849224,910.428063342,42.4850247072,35.4627611751
 01/01  16:00:00,662.144533345,96.6867848119,50.319353329,0.0,65.1572554096,212.545889182,998.578564844,915.318227581,56.6466996096,26.6136376536
 01/01  17:00:00,641.234392414,96.6867848119,50.1128876656,0.0,65.1572554096,220.04316451,1036.74425116,916.290617464,84.9700494144,35.483584277
 01/01  18:00:00,607.092392477,96.6867848119,56.374716043,0.0,54.0258772165,184.38654557,1013.98296374,893.735067073,84.9700494144,35.2778472555
 01/01  19:00:00,582.743290856,96.6867848119,61.9081260063,0.0,44.4937663224,163.454314868,1007.19720528,910.856788126,84.9700494144,11.3703677404
 01/01  20:00:00,586.032375057,96.6867848119,73.5258756225,0.0,44.4937663224,155.95703954,965.659446369,894.183404895,56.6466996096,14.829341864
 01/01  21:00:00,569.977645,96.6867848119,91.2512147931,0.0,44.4937663224,124.558693486,959.720773722,885.610243481,56.6466996096,17.4638306321
 01/01  22:00:00,575.543304312,96.6867848119,98.422889049,0.0,44.4937663224,124.558693486,951.489517834,891.540928456,42.4850247072,17.4635646705
