Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,129.13502876,31.0008536955,2.29812072824,2.77141301419,34.4311606118,33.1021868926,252.018518183,101.897384595,3.33212,146.789013588
 01/01  02:00:00,126.889084928,31.0008536955,0.0,2.75950020092,34.4311606118,33.1021868926,211.626016931,92.9361492842,3.33212,115.357747647
 01/01  03:00:00,109.578741146,31.0008536955,0.0,2.92245875639,19.466279405,30.610668775,208.58736392,89.9224244824,3.33212,115.332819437
 01/01  04:00:00,109.721532739,31.0008536955,0.0,3.07419530602,19.466279405,30.610668775,201.827929469,88.2791842468,3.33212,110.216625222
 01/01  05:00:00,117.21666349,33.4367244468,0.0,1.58696086323,19.466279405,30.610668775,246.716155431,91.5077713778,3.33212,151.876264053
 01/01  06:00:00,129.912732884,33.985435461,0.0,1.59183384606,19.466279405,30.610668775,294.598000139,98.3606681401,8.3303,187.907031999
 01/01  07:00:00,201.802154827,34.7994123062,0.0,1.11163815839,42.6918050922,54.3732441037,384.217333184,100.06621638,16.6606,267.490516804
 01/01  08:00:00,274.384186103,35.8847147663,21.1148220743,1.42410857756,49.3960418185,88.5934452969,973.949014184,504.146143795,24.9909,444.811970389
 01/01  09:00:00,323.714801515,35.8847147663,49.8099170051,1.3598513909,57.6566862989,112.030105488,1185.65806624,523.694659924,33.3212,628.642206313
 01/01  10:00:00,249.36290747,35.8847147663,31.6842969962,1.33534544629,50.9524495726,81.1684271793,1020.38302817,496.2781738,66.8089,457.29595437
 01/01  11:00:00,182.123286424,35.8847147663,9.58067837392,1.24837802156,42.6918050922,68.9656133826,922.710932441,498.142210783,83.4695,341.099221658
