Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,112.42974928,23.3643994693,1.00543720396,18.7302744032,4.12243109448,15.9888894789,102.014125332,99.0223949145,2.97173041782,0.02
 01/02  02:00:00,100.509035006,19.4703328911,1.10800325162,16.5419583979,4.12243109448,15.9888894789,87.0031306232,84.0114002054,2.97173041782,0.02
 01/02  03:00:00,119.018835831,24.3379161139,1.4635555715,22.4035567329,4.12243109448,15.9888894789,109.320699836,106.328969419,2.97173041782,0.02
 01/02  04:00:00,103.308102603,19.4703328911,1.06259879754,18.3926180663,4.12243109448,15.9888894789,88.4155711178,85.4238407,2.97173041782,0.02
 01/02  05:00:00,145.578119744,28.7711820256,1.41060546927,20.7671994329,12.3672932834,24.9413748627,124.938254914,119.965370884,4.9528840297,0.02
 01/02  06:00:00,174.663947543,28.3427812567,4.66861753961,49.3114787439,12.3672932834,24.9413748627,192.483495279,187.51061125,4.9528840297,0.02
 01/02  07:00:00,234.707708275,29.2495101702,5.50332294189,50.9412324132,24.7345865669,70.7195625826,197.476983048,187.551214989,9.90576805939,0.02
 01/02  08:00:00,248.408699162,29.3039323775,5.93140836358,37.5154168222,37.1018798503,92.3937384068,178.681255834,168.755487774,9.90576805939,0.02
 01/02  09:00:00,243.560960544,29.3252749259,5.93511608508,33.1645060066,37.1018798503,104.434947198,172.359315081,162.433547021,9.90576805939,0.02
 01/02  10:00:00,251.589784771,29.3375665935,5.93343694938,30.4380551589,37.1018798503,116.476155989,177.711663127,159.174342347,9.90576805939,8.63155272016
 01/02  11:00:00,249.603173652,29.3466140214,6.52161403464,28.1266776822,37.1018798503,116.476155989,164.551446811,154.625678752,9.90576805939,0.02
 01/02  12:00:00,247.409438097,29.354408198,6.93430809415,26.3168682165,37.1018798503,116.476155989,168.948789811,150.402540399,9.90576805939,8.64048135262
 01/02  13:00:00,234.390036515,29.362307688,6.93759742861,24.8510243711,37.1018798503,104.434947198,158.482138419,148.556370359,9.90576805939,0.02
 01/02  14:00:00,243.591415584,29.3711824783,6.92905570179,23.4676450983,37.1018798503,116.476155989,165.128558823,146.582160772,9.90576805939,8.64062999164
 01/02  15:00:00,242.926942244,29.3800047837,6.9323954037,22.4910987442,37.1018798503,116.476155989,163.566803892,145.022502689,9.90576805939,8.6385331432
 01/02  16:00:00,242.32460158,29.3878042276,6.93513436748,21.8601959152,37.1018798503,116.476155989,153.81395249,143.888184431,9.90576805939,0.02
 01/02  17:00:00,247.814375149,29.394624181,6.93820515891,21.2693136896,37.1018798503,116.476155989,161.199178637,142.662045659,9.90576805939,8.63136491851
 01/02  18:00:00,259.057586595,29.4000547792,6.82312933544,20.9669544079,37.1018798503,116.476155989,152.046587222,142.120819163,9.90576805939,0.02
 01/02  19:00:00,156.721989947,27.9025474035,3.54592560549,1.56103381814,24.7345865669,47.5788473902,94.4101716336,89.4372876039,4.9528840297,0.02
 01/02  20:00:00,156.996098618,27.7577749665,3.26489162025,1.86068758426,24.7345865669,47.5788473902,95.6718243725,90.6989403428,4.9528840297,0.02
 01/02  21:00:00,145.773533563,28.7711820256,2.61401045018,9.35878866565,12.3672932834,38.6892022431,108.123245627,105.131515209,2.97173041782,0.02
 01/02  22:00:00,122.043025029,23.0169456205,1.63564624748,9.93744871859,12.3672932834,27.0668015668,92.645123935,89.6533935172,2.97173041782,0.02
 01/02  23:00:00,101.529129302,19.9046502021,0.703705525561,15.9637946773,4.12243109448,15.9888894789,81.6346204222,78.6428900044,2.97173041782,0.02
 01/02  24:00:00,112.838294683,23.9035988028,0.546347846359,14.9866455427,4.12243109448,15.9888894789,104.130911039,101.139180621,2.97173041782,0.02
 01/03  01:00:00,104.993461798,19.9046502021,0.244866608157,19.4243315779,4.12243109448,15.9888894789,92.8568206012,81.2849424182,2.97173041782,8.60014776516
 01/03  02:00:00,114.876235071,23.9035988028,0.235833366878,17.4962859614,4.12243109448,15.9888894789,107.855662675,104.863932258,2.97173041782,0.02
 01/03  03:00:00,107.91851838,19.9046502021,0.0554829857158,22.2294528486,4.12243109448,15.9888894789,89.5938439884,86.6021135706,2.97173041782,0.02
 01/03  04:00:00,118.613825322,23.9035988028,0.0996098259039,19.8896875699,4.12243109448,15.9888894789,112.555895512,109.564165094,2.97173041782,0.02
 01/03  05:00:00,147.658006313,28.7711820256,0.0,20.8156923512,12.3672932834,24.9413748627,129.099778118,124.126894088,4.9528840297,0.02
 01/03  06:00:00,177.579634709,28.3486126914,2.69030497142,49.6998999962,12.3672932834,24.9413748627,193.696235569,188.723351539,4.9528840297,0.02
 01/03  07:00:00,239.08587735,29.2430242198,2.35248658361,53.168225693,24.7345865669,70.7195625826,208.592311238,198.666543179,9.90576805939,0.02
 01/03  08:00:00,252.899144301,29.3028302338,1.94921241322,40.2190572658,37.1018798503,92.3937384068,194.624472174,184.698704115,9.90576805939,0.02
 01/03  09:00:00,250.178003313,29.3248188166,1.37079126616,36.4087620991,37.1018798503,104.434947198,190.212664859,180.2868968,9.90576805939,0.02
 01/03  10:00:00,259.633987889,29.3375217968,0.957126469263,33.9905208437,37.1018798503,116.476155989,197.52915803,178.991889676,9.90576805939,8.6315002953
 01/03  11:00:00,257.506442849,29.3467582524,0.315432209144,32.3307099421,37.1018798503,116.476155989,187.924561974,177.998793915,9.90576805939,0.02
 01/03  12:00:00,256.875498962,29.3531061875,0.0,31.4709290909,37.1018798503,116.476155989,202.16548198,183.619195555,9.90576805939,8.64051836535
 01/03  13:00:00,245.730317666,29.3559575134,0.0,30.8242963357,37.1018798503,104.434947198,196.668593407,186.742825347,9.90576805939,0.02
 01/03  14:00:00,255.37314049,29.3655919082,0.0,29.6498062182,37.1018798503,116.476155989,203.900727285,185.354281043,9.90576805939,8.6406781827
 01/03  15:00:00,253.92787793,29.3771227444,0.0,28.4994208259,37.1018798503,116.476155989,197.851218426,179.306878542,9.90576805939,8.63857182452
 01/03  16:00:00,253.940441582,29.3849389603,0.0,28.0416287929,37.1018798503,116.476155989,187.725240298,177.799472239,9.90576805939,0.02
 01/03  17:00:00,258.709027685,29.3916582431,0.0,27.6600537421,37.1018798503,116.476155989,200.556158232,182.019155275,9.90576805939,8.63123489783
