Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,61.2019030081,5.76258705263,0.0,0.0,15.863942322,29.242365,189.077787524,185.852107524,3.20568,0.02
 01/01  02:00:00,60.3298320573,4.94739989725,0.0,0.0,15.863942322,29.242365,160.7988319,157.5731519,3.20568,0.02
 01/01  03:00:00,61.6743062391,6.19008486658,0.0,0.0,15.863942322,29.242365,233.257886759,227.169144054,3.20568,2.88306270503
 01/01  04:00:00,60.3601961606,4.9707398773,0.0,0.0,15.863942322,29.242365,166.711466281,163.485786281,3.20568,0.02
 01/01  05:00:00,61.9217379561,6.21342484662,0.0,0.0,15.863942322,29.242365,231.763327735,225.674467279,3.20568,2.88318045573
 01/01  06:00:00,60.5695298213,4.9707398773,0.0,0.0,15.863942322,29.242365,165.736246863,162.510566863,3.20568,0.02
 01/01  07:00:00,61.9337148746,6.21342484662,0.0,0.0,15.863942322,29.242365,229.937280493,223.848438724,3.20568,2.88316176915
 01/01  08:00:00,57.6070855136,4.9707398773,0.0,0.0,15.863942322,29.242365,140.220625797,136.994945797,3.20568,0.02
 01/01  09:00:00,53.2164127139,6.21342484662,0.0,0.0,15.863942322,29.242365,195.446833633,189.356180933,3.20568,2.8849726995
 01/01  10:00:00,51.8972284798,4.9707398773,0.0,0.0,15.863942322,29.242365,134.167222323,130.941542323,3.20568,0.02
 01/01  11:00:00,53.1305743119,6.14340490649,0.0,0.0,15.863942322,29.242365,182.992421619,176.901865291,3.20568,2.88487632834
 01/01  12:00:00,52.5260009323,4.87737995713,0.0,0.0,15.863942322,29.242365,122.83924408,116.748678654,3.20568,2.88488542637
 01/01  13:00:00,52.8967434918,5.9800250462,0.0,0.0,15.863942322,29.242365,150.76921434,147.54353434,3.20568,0.02
 01/01  14:00:00,51.6584209734,4.76068005691,0.0,0.0,15.863942322,29.242365,112.270977919,106.180349533,3.20568,2.88494838654
 01/01  15:00:00,52.9388186388,5.9800250462,0.0,0.0,15.863942322,29.242365,145.804572334,142.578892334,3.20568,0.02
 01/01  16:00:00,51.7479508979,4.85403997708,0.0,0.0,15.863942322,29.242365,113.213240573,107.12448192,3.20568,2.88307865294
 01/01  17:00:00,55.685380397,5.9800250462,0.0,0.0,15.863942322,29.242365,152.689030585,149.463350585,3.20568,0.02
 01/01  18:00:00,60.1351628115,4.76068005691,0.0,0.0,15.863942322,29.242365,116.585923816,110.497080726,3.20568,2.88316309029
 01/01  19:00:00,61.401968246,5.9800250462,0.0,0.0,15.863942322,29.242365,153.438048054,150.212368054,3.20568,0.02
 01/01  20:00:00,60.3707022127,4.78402003696,0.0,0.0,15.863942322,29.242365,115.324268757,109.235409862,3.20568,2.88317889455
 01/01  21:00:00,61.5918987536,5.9800250462,0.0,0.0,15.863942322,29.242365,145.828843607,142.603163607,3.20568,0.02
