Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.5410053214,2.19660569965,0.0,0.0,1.85583932782,5.577,82.7509306434,77.436921275,3.0011,2.31290936845
 01/01  02:00:00,9.45517471148,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.46866613609,0.0,0.0,0.0,0.618613109274,5.0,3.59318342931,0.0,3.0011,0.592083429309
 01/01  04:00:00,9.47927714822,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.62943543689,0.0,0.0,0.0,0.618613109274,5.0,3.59316348183,0.0,3.0011,0.59206348183
 01/01  06:00:00,13.683251871,2.19660569965,0.0,0.0,1.85583932782,5.577,89.950628288,85.428978288,4.50165,0.02
 01/01  07:00:00,28.1641020111,2.19660569965,0.0,0.0,3.71167865564,18.077,89.6324752585,74.3897005234,13.50495,1.73782473515
 01/01  08:00:00,26.848242516,2.19660569965,0.0,0.0,3.71167865564,18.077,91.5594655369,68.8139014947,21.0077,1.73786404219
 01/01  09:00:00,20.5835188584,2.19660569965,0.0,0.0,3.71167865564,13.077,84.708557,68.5374829326,15.0055,1.16557406742
 01/01  10:00:00,20.5934894661,2.19660569965,0.0,0.0,3.71167865564,13.077,84.1784158375,67.4348786082,15.0055,1.73803722933
 01/01  11:00:00,25.5838665737,2.19660569965,0.0,0.0,3.71167865564,18.077,102.690780471,64.4883688688,33.0121,5.19031160211
 01/01  12:00:00,26.7385609688,2.19660569965,0.0,0.0,3.71167865564,18.077,104.517031335,59.3892645264,40.51485,4.61291680812
 01/01  13:00:00,25.798360182,2.19660569965,0.0,0.0,3.71167865564,18.077,96.4184459195,56.9420878339,36.0132,3.46315808557
 01/01  14:00:00,25.5979271777,2.19660569965,0.0,0.0,3.71167865564,18.077,93.0938983332,57.5447881783,31.51155,4.03756015488
 01/01  15:00:00,20.6050118168,2.19660569965,0.0,0.0,3.71167865564,13.077,85.1694412706,61.2748085926,21.0077,2.88693267803
 01/01  16:00:00,20.5939622276,2.19660569965,0.0,0.0,3.71167865564,13.077,84.7305765664,62.3367856324,19.50715,2.88664093394
 01/01  17:00:00,21.7773314663,2.19660569965,0.0,0.0,3.71167865564,13.077,88.426025146,62.4573755848,22.50825,3.4603995612
 01/01  18:00:00,28.0445188903,2.19660569965,0.0,0.0,3.71167865564,18.077,87.731791553,58.759921336,25.50935,3.462520217
 01/01  19:00:00,28.0470120257,2.19660569965,0.0,0.0,3.71167865564,18.077,85.7331698901,55.6082170705,25.50935,4.61560281957
 01/01  20:00:00,28.1919375742,2.19660569965,0.0,0.0,3.71167865564,18.077,84.5504150367,53.8528860967,25.50935,5.18817894006
 01/01  21:00:00,23.1807991518,2.19660569965,0.0,0.0,3.71167865564,13.077,79.5311546842,53.5598940399,22.50825,3.46301064427
 01/01  22:00:00,23.1179780047,2.19660569965,0.0,0.0,3.71167865564,13.077,79.4179707489,53.2214046461,21.0077,5.18886610281
 01/01  23:00:00,23.0139116792,2.19660569965,0.0,0.0,3.71167865564,13.077,74.6239117198,53.1544990227,18.0066,3.46281269709
 01/01  24:00:00,24.2154959737,2.19660569965,0.0,0.0,3.71167865564,13.077,61.4946069531,56.1818394094,3.0011,2.31166754365
 01/02  01:00:00,13.7403405697,2.19660569965,0.0,0.0,1.85583932782,5.577,68.4627490425,63.7234238168,3.0011,1.73822522568
 01/02  02:00:00,9.46287273749,0.0,0.0,0.0,0.618613109274,5.0,3.59319169034,0.0,3.0011,0.592091690344
 01/02  03:00:00,9.4822841783,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  04:00:00,9.49570089323,0.0,0.0,0.0,0.618613109274,5.0,3.59314586237,0.0,3.0011,0.592045862367
 01/02  05:00:00,9.64628457649,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  06:00:00,13.6880937248,2.19660569965,0.0,0.0,1.85583932782,5.577,72.367314549,67.2736127433,4.50165,0.592051805706
 01/02  07:00:00,28.1661789401,2.19660569965,0.0,0.0,3.71167865564,18.077,73.1506982502,57.9077710771,13.50495,1.73797717312
 01/02  08:00:00,26.8547390541,2.19660569965,0.0,0.0,3.71167865564,18.077,78.6507693177,52.4498388408,21.0077,5.19323047693
 01/02  09:00:00,20.5894212623,2.19660569965,0.0,0.0,3.71167865564,13.077,73.7836229627,53.5870749897,15.0055,5.19104797305
 01/02  10:00:00,20.5991147639,2.19660569965,0.0,0.0,3.71167865564,13.077,73.9330527266,54.3143803192,15.0055,4.61317240737
 01/02  11:00:00,25.5936207551,2.19660569965,0.0,0.0,3.71167865564,18.077,87.3893737485,50.3408388632,33.0121,4.03643488535
 01/02  12:00:00,26.7490784725,2.19660569965,0.0,0.0,3.71167865564,18.077,90.4029731386,45.8490706735,40.51485,4.03905246507
 01/02  13:00:00,25.8136041293,2.19660569965,0.0,0.0,3.71167865564,18.077,83.6240549766,43.5738294796,36.0132,4.03702549706
 01/02  14:00:00,25.6143829868,2.19660569965,0.0,0.0,3.71167865564,18.077,79.0018791146,44.0288020983,31.51155,3.46152701636
 01/02  15:00:00,20.6169885747,2.19660569965,0.0,0.0,3.71167865564,13.077,72.2881819405,48.3940548869,21.0077,2.88642705361
 01/02  16:00:00,20.6020009827,2.19660569965,0.0,0.0,3.71167865564,13.077,72.9071637615,50.5132498802,19.50715,2.88676388129
 01/02  17:00:00,21.7843476404,2.19660569965,0.0,0.0,3.71167865564,13.077,75.6452003332,50.2504586741,22.50825,2.88649165912
 01/02  18:00:00,28.0512281656,2.19660569965,0.0,0.0,3.71167865564,18.077,76.1114234696,46.564890186,25.50935,4.03718328365
 01/02  19:00:00,28.0535695545,2.19660569965,0.0,0.0,3.71167865564,18.077,76.2166161122,45.5164791792,25.50935,5.19078693297
 01/02  20:00:00,28.1968719272,2.19660569965,0.0,0.0,3.71167865564,18.077,76.3717650971,45.094271819,25.50935,5.76814327817
 01/02  21:00:00,23.1847584501,2.19660569965,0.0,0.0,3.71167865564,13.077,75.8436320835,48.7220027636,22.50825,4.61337931988
 01/02  22:00:00,23.1187474319,2.19660569965,0.0,0.0,3.71167865564,13.077,77.9757354065,51.776817748,21.0077,5.19121765854
 01/02  23:00:00,23.0122125882,2.19660569965,0.0,0.0,3.71167865564,13.077,77.7495515777,55.705365434,18.0066,4.03758614372
 01/02  24:00:00,24.2150074847,2.19660569965,0.0,0.0,3.71167865564,13.077,64.9826812236,59.0958769477,3.0011,2.88570427583
 01/03  01:00:00,13.7386062706,2.19660569965,0.0,0.0,1.85583932782,5.577,70.5745289165,65.8349761699,3.0011,1.73845274656
 01/03  02:00:00,9.46122872331,0.0,0.0,0.0,0.618613109274,5.0,3.59317971492,0.0,3.0011,0.592079714917
 01/03  03:00:00,9.479726258,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  04:00:00,9.49273674622,0.0,0.0,0.0,0.618613109274,5.0,3.59318562629,0.0,3.0011,0.592085626288
 01/03  05:00:00,10.1606282383,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  06:00:00,14.1981056956,2.19660569965,0.0,0.0,1.85583932782,5.577,77.1531661286,72.0594246222,4.50165,0.592091506381
 01/03  07:00:00,28.3930155927,2.19660569965,0.0,0.0,3.71167865564,18.077,80.384830646,65.7145501666,13.50495,1.16533047939
 01/03  08:00:00,26.8493672141,2.19660569965,0.0,0.0,3.71167865564,18.077,88.9129168521,62.1365892279,21.0077,5.76862762427
 01/03  09:00:00,20.5843408674,2.19660569965,0.0,0.0,3.71167865564,13.077,85.0615247518,64.8643826898,15.0055,5.19164206199
 01/03  10:00:00,20.593674502,2.19660569965,0.0,0.0,3.71167865564,13.077,86.1614416745,66.5431468243,15.0055,4.61279485023
 01/03  11:00:00,25.5846138662,2.19660569965,0.0,0.0,3.71167865564,18.077,102.153725722,65.6784097374,33.0121,3.46321598445
 01/03  12:00:00,26.7390971416,2.19660569965,0.0,0.0,3.71167865564,18.077,109.547484637,64.4190795745,40.51485,4.61355506283
 01/03  13:00:00,25.7985631713,2.19660569965,0.0,0.0,3.71167865564,18.077,102.930971603,62.8809672013,36.0132,4.03680440135
 01/03  14:00:00,25.5986854563,2.19660569965,0.0,0.0,3.71167865564,18.077,98.4080377553,63.4351209178,31.51155,3.46136683753
 01/03  15:00:00,20.6050718421,2.19660569965,0.0,0.0,3.71167865564,13.077,90.6219308584,66.7273089553,21.0077,2.88692190311
 01/03  16:00:00,20.5935839023,2.19660569965,0.0,0.0,3.71167865564,13.077,91.8639661758,69.4701485656,19.50715,2.88666761016
 01/03  17:00:00,21.7766673701,2.19660569965,0.0,0.0,3.71167865564,13.077,95.5305255286,70.135252995,22.50825,2.88702253366
 01/03  18:00:00,28.0417058863,2.19660569965,0.0,0.0,3.71167865564,18.077,97.2599976243,67.7135369164,25.50935,4.03711070782
 01/03  19:00:00,28.0418999453,2.19660569965,0.0,0.0,3.71167865564,18.077,98.4098553648,67.7097452664,25.50935,5.19076009843
 01/03  20:00:00,28.041804885,2.19660569965,0.0,0.0,3.71167865564,18.077,100.261953116,68.9844089689,25.50935,5.76819414682
 01/03  21:00:00,23.0414000831,2.19660569965,0.0,0.0,3.71167865564,13.077,100.734665843,73.6129450511,22.50825,4.6134707922
 01/03  22:00:00,23.0105964066,2.19660569965,0.0,0.0,3.71167865564,13.077,101.403899202,75.2048130968,21.0077,5.19138610528
 01/03  23:00:00,23.0104692555,2.19660569965,0.0,0.0,3.71167865564,13.077,100.296030566,78.251675818,18.0066,4.03775474829
 01/03  24:00:00,24.2150203715,2.19660569965,0.0,0.0,3.71167865564,13.077,87.5246027379,81.638177728,3.0011,2.88532500989
 01/04  01:00:00,13.7398560164,2.19660569965,0.0,0.0,1.85583932782,5.577,95.2263379474,90.4871188003,3.0011,1.73811914709
 01/04  02:00:00,9.44429909172,0.0,0.0,0.0,0.618613109274,5.0,3.59319485674,0.0,3.0011,0.592094856739
 01/04  03:00:00,9.45605492732,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/04  04:00:00,9.46796243615,0.0,0.0,0.0,0.618613109274,5.0,3.59316385551,0.0,3.0011,0.592063855515
 01/04  05:00:00,9.61699986331,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/04  06:00:00,13.6795921433,2.19660569965,0.0,0.0,1.85583932782,5.577,106.301385245,101.207665475,4.50165,0.592069770192
 01/04  07:00:00,28.1637364031,2.19660569965,0.0,0.0,3.71167865564,18.077,108.605585808,93.9352387416,13.50495,1.16539706631
 01/04  08:00:00,26.8474447645,2.19660569965,0.0,0.0,3.71167865564,18.077,116.957421809,90.1806793023,21.0077,5.76904250707
