Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,165.683929552,47.8652214707,0.0,0.0,43.513341876,52.539744,336.651839472,331.797579472,4.83426,0.02
 01/01  02:00:00,169.766054214,51.9776060405,0.0,0.0,43.513341876,52.539744,307.191277416,302.337017416,4.83426,0.02
 01/01  03:00:00,171.303760034,53.2001083186,0.0,0.0,43.513341876,52.539744,463.099440728,458.245180728,4.83426,0.02
 01/01  04:00:00,170.383435086,52.5390533645,0.0,0.0,43.513341876,52.539744,318.317991329,313.463731329,4.83426,0.02
 01/01  05:00:00,170.646391148,52.0772136706,0.0,0.0,43.513341876,52.539744,450.761696244,437.313855984,4.83426,8.6135802598
 01/01  06:00:00,170.517501747,52.2583297025,0.0,0.0,43.513341876,52.539744,310.648078489,305.793818489,4.83426,0.02
 01/01  07:00:00,171.215546336,52.6386609946,0.0,0.0,43.513341876,52.539744,438.639093562,433.784833562,4.83426,0.02
 01/01  08:00:00,155.969516823,43.9072226882,0.0,0.0,43.513341876,52.539744,226.208845636,221.354585636,4.83426,0.02
 01/01  09:00:00,146.804055308,46.4768609997,0.0,0.0,43.513341876,52.539744,315.183249239,310.328989239,4.83426,0.02
 01/01  10:00:00,134.850896604,34.7421858262,0.0,0.0,43.513341876,52.539744,217.847113063,204.391217705,4.83426,8.62163535789
 01/01  11:00:00,142.315671309,42.0417646842,0.0,0.0,43.513341876,52.539744,300.231279647,295.377019647,4.83426,0.02
 01/01  12:00:00,137.950734321,36.959733984,0.0,0.0,43.513341876,52.539744,193.631091049,188.776831049,4.83426,0.02
 01/01  13:00:00,141.695822343,41.5475038901,0.0,0.0,43.513341876,52.539744,279.717299216,266.261576614,4.83426,8.62146260218
 01/01  14:00:00,130.956436826,30.9216027956,0.0,0.0,43.513341876,52.539744,183.229552531,178.375292531,4.83426,0.02
 01/01  15:00:00,136.345809997,36.1238859864,0.0,0.0,43.513341876,52.539744,264.88543238,260.03117238,4.83426,0.02
 01/01  16:00:00,136.489002158,36.4654731898,0.0,0.0,43.513341876,52.539744,182.69580814,177.84154814,4.83426,0.02
 01/01  17:00:00,142.107163996,36.1238859864,0.0,0.0,43.513341876,52.539744,281.628069639,268.180214164,4.83426,8.61359547528
 01/01  18:00:00,154.226089454,36.4654731898,0.0,0.0,43.513341876,52.539744,188.15317271,183.29891271,4.83426,0.02
 01/01  19:00:00,154.056540868,36.1238859864,0.0,0.0,43.513341876,52.539744,273.319167837,268.464907837,4.83426,0.02
 01/01  20:00:00,154.650676819,36.4654731898,0.0,0.0,43.513341876,52.539744,185.877615567,181.023355567,4.83426,0.02
 01/01  21:00:00,147.294800694,28.9769807192,0.0,0.0,43.513341876,52.539744,264.752430599,259.898170599,4.83426,0.02
 01/01  22:00:00,167.195201472,49.2056708434,0.0,0.0,43.513341876,52.539744,251.935753038,238.487965075,4.83426,8.61352796254
