Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,59.9871868226,6.16191909638,0.0,23.2587279631,12.925468867,10.100111941,71.1486057305,71.1286057305,0.0,0.02
 01/01  02:00:00,64.1707262123,6.30977845362,0.0,27.2956444079,12.925468867,10.100111941,85.7378652531,79.9768120652,0.0,5.76105318793
 01/01  03:00:00,62.6454554178,6.43226156404,0.0,30.2669256006,8.34152022915,10.0650221343,88.194043751,82.4324081332,0.0,5.76163561789
 01/01  04:00:00,63.8439919574,6.48486597845,0.0,31.4128580092,8.34152022915,10.0650221343,87.0501919539,81.2886249049,0.0,5.76156704898
 01/01  05:00:00,65.6983229034,6.4992109689,0.0,31.6461069303,8.34152022915,11.6705166398,84.5069276876,78.7388619981,0.0,5.76806568949
 01/01  06:00:00,70.8468677104,6.53865002521,0.0,32.5967817941,8.80141237637,15.3678112995,82.9895088576,77.2138669235,0.0,5.77564193416
 01/01  07:00:00,86.3797633644,6.34809944663,0.0,28.3433852223,18.5082010057,25.6353820695,78.5689534976,72.7807567846,0.0,5.78819671304
 01/01  08:00:00,93.5151699082,6.1224877524,0.0,23.0170092564,19.4926561212,41.1001056674,86.1303049782,68.6943252821,0.0,17.4359796961
 01/01  09:00:00,107.661227389,5.89209982696,0.0709902596016,17.332619444,26.3286599382,57.9988325916,99.353052297,57.7530952963,0.0,41.5999570006
 01/01  10:00:00,96.3756762843,6.00035824769,1.48343550009,19.8003907619,26.2443270014,42.8153538416,103.48735095,55.9306782163,18.025,29.5316727338
 01/01  11:00:00,77.8708300159,6.2183336058,1.66315644743,24.7728275098,21.7447113004,23.4437158914,104.730546815,57.2810381301,18.025,29.4245086852
 01/01  12:00:00,75.8223615373,6.23872218373,1.71696622957,25.0524411543,19.3449162599,23.4437158914,103.74888636,56.3765343438,18.025,29.3473520162
 01/01  13:00:00,75.5327162588,6.2333290897,1.57487124579,24.7683643403,19.190480192,23.7425572507,97.2045679905,55.7618189706,18.025,23.41774902
 01/01  14:00:00,75.4938665173,6.23434120698,1.59150453848,24.6857475975,19.260583323,23.698576057,95.270196467,53.8309579636,18.025,23.4142385033
 01/01  15:00:00,75.2595602345,6.22820551437,1.61084193705,24.438239403,19.260583323,23.698576057,95.0932062731,53.6522820757,18.025,23.4159241975
 01/01  16:00:00,75.02050937,6.2335221777,1.62795501765,24.466708416,19.260583323,23.4086260847,96.2490853457,54.8064714321,18.025,23.4176139137
 01/01  17:00:00,82.6924198604,6.24963091505,0.7684453523,24.7626802066,19.260583323,27.8781056672,78.5368625114,54.743136611,18.025,5.76872590041
 01/01  18:00:00,90.7313941298,6.09988673837,0.0,21.3292465108,18.1807569449,37.5792895564,60.4619008343,54.6862839699,0.0,5.77561686447
 01/01  19:00:00,100.136137512,5.9180579403,0.0102810572355,17.011835471,32.6059821062,37.0465235296,63.5337250949,57.7508761979,0.0,5.78284889699
 01/01  20:00:00,97.0805333268,5.79134171195,0.0353136175099,13.8265814883,36.8143715336,33.066984531,68.2024667438,56.6283547526,0.0,11.5741119912
 01/01  21:00:00,99.1676579297,5.67038387989,0.0597903370136,10.650685295,36.43363367,38.8072253906,66.8748755768,55.3024796936,0.0,11.5723958832
 01/01  22:00:00,95.9895400283,5.64194723858,0.0613688970125,9.85613381339,36.0963922311,36.7877557581,66.3640374543,54.7899067122,0.0,11.5741307421
 01/01  23:00:00,77.7298623828,5.76518105993,0.0335062952139,12.8207083364,30.9507766546,20.6087787026,72.0369385969,54.5996644156,0.0,17.4372741813
 01/01  24:00:00,59.7596043067,5.94243892472,0.00627013747969,17.1355085503,17.4250845679,11.7056064465,62.4973638517,56.7072104809,0.0,5.79015337076
 01/02  01:00:00,54.2948177911,6.01968105367,0.0,19.0279027256,11.6412384099,10.0650221343,64.3602306587,58.5912625943,0.0,5.76896806436
 01/02  02:00:00,53.8952915495,6.0677475932,0.0,20.141135494,10.0992000411,10.047477231,65.089428429,59.3274650592,0.0,5.76196336984
 01/02  03:00:00,52.857860855,6.10183704065,0.0,20.9291734459,8.25718729233,10.0299323277,65.7935988304,60.0316856924,0.0,5.76191313804
 01/02  04:00:00,53.3206534814,6.12113183317,0.0,21.3726735921,8.25718729233,10.0299323277,60.6236045016,60.6036045016,0.0,0.02
