Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,92.2415496902,17.3811703713,0.0,0.0,3.49369000822,6.81298672936,74.2546422732,72.4833922732,1.75125,0.02
 01/01  02:00:00,94.9606304985,19.9736474892,0.0,0.0,3.49369000822,6.81298672936,110.154129661,108.382879661,1.75125,0.02
 01/01  03:00:00,90.0606870063,15.1608093402,0.0,0.0,3.49369000822,6.81298672936,99.4142347743,96.4986279806,1.75125,1.1643567937
 01/01  04:00:00,95.4562421639,20.9324276713,0.0,0.0,3.49369000822,6.81298672936,148.232623126,146.461373126,1.75125,0.02
 01/01  05:00:00,103.176771934,21.7761061153,0.0,0.0,3.49369000822,6.81298672936,136.647256568,134.876006568,1.75125,0.02
 01/01  06:00:00,96.3296266479,15.3610825209,0.0,0.0,3.49369000822,6.81298672936,107.618783388,104.703251076,1.75125,1.16428231256
 01/01  07:00:00,123.525458082,29.0348081537,0.0,0.0,6.98738001645,14.1499734587,695.681823283,692.159323283,3.5025,0.02
 01/01  08:00:00,125.860663485,29.0348081537,0.0,0.0,6.98738001645,14.1499734587,631.021194656,627.498694656,3.5025,0.02
 01/01  09:00:00,154.680410052,29.0348081537,0.0,0.0,6.98738001645,14.1499734587,553.023835519,548.356950858,3.5025,1.16438466097
 01/01  10:00:00,127.110284584,29.0348081537,0.0,0.0,6.98738001645,14.1499734587,537.320641346,533.798141346,3.5025,0.02
 01/01  11:00:00,161.738588741,29.0348081537,0.0,0.0,27.9495200658,27.7759469175,508.708743981,500.538986146,7.005,1.16475783518
 01/01  12:00:00,193.26189154,29.0348081537,0.0,0.0,27.9495200658,27.7759469175,490.721561726,482.551756938,7.005,1.16480478787
 01/01  13:00:00,200.408568521,29.0348081537,0.0,0.0,41.9242800987,36.8599292233,461.818782627,451.313777059,9.34,1.16500556739
 01/01  14:00:00,197.425420925,29.0348081537,0.0,0.0,41.9242800987,36.8599292233,453.458950018,442.954011908,9.34,1.16493810969
 01/01  15:00:00,193.670224042,29.0348081537,0.0,0.0,41.9242800987,36.8599292233,447.835853767,437.330844205,9.34,1.16500956255
 01/01  16:00:00,190.280146238,29.0348081537,0.0,0.0,41.9242800987,36.8599292233,443.908431673,433.403487911,9.34,1.16494376204
 01/01  17:00:00,197.109539906,29.0348081537,0.0,0.0,41.9242800987,36.8599292233,441.241069507,430.736135637,9.34,1.1649338697
 01/01  18:00:00,175.479563557,29.0348081537,0.0,0.0,27.9495200658,27.7759469175,496.617217842,489.592217842,7.005,0.02
 01/01  19:00:00,182.074558834,29.0348081537,0.0,0.0,13.9747600329,18.6919646116,509.590937422,503.756178741,4.67,1.16475868146
 01/01  20:00:00,162.090258268,29.0348081537,0.0,0.0,13.9747600329,18.6919646116,505.215146278,499.380431027,4.67,1.16471525141
 01/01  21:00:00,153.225594246,29.0348081537,0.0,0.0,13.9747600329,18.6919646116,493.831822627,487.99721626,4.67,1.16460636736
 01/01  22:00:00,139.12680054,29.0348081537,0.0,0.0,13.9747600329,18.6919646116,444.468147438,439.778147438,4.67,0.02
 01/01  23:00:00,76.5983896513,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91564794956,0.0,1.75125,1.16439794956
 01/01  24:00:00,121.258264577,8.53043361592,0.0,0.0,3.49369000822,6.81298672936,28.0095685707,26.2383185707,1.75125,0.02
 01/02  01:00:00,100.923746412,17.2371499295,0.0,0.0,3.49369000822,9.08398230582,57.2805503254,54.9255503254,2.335,0.02
 01/02  02:00:00,95.3956179771,18.0999346242,0.0,0.0,3.49369000822,9.08398230582,54.4549314725,52.0999314725,2.335,0.02
 01/02  03:00:00,89.4730593837,12.0666230828,0.0,0.0,3.49369000822,9.08398230582,50.3519509176,46.8526428966,2.335,1.16430802099
 01/02  04:00:00,95.2722409151,18.0999346242,0.0,0.0,3.49369000822,9.08398230582,79.6056143517,77.2506143517,2.335,0.02
 01/02  05:00:00,101.851332989,18.0999346242,0.0,0.0,3.49369000822,9.08398230582,65.1737604218,62.8187604218,2.335,0.02
 01/02  06:00:00,95.581103264,12.0666230828,0.0,0.0,3.49369000822,9.08398230582,59.0187386145,55.5194626903,2.335,1.16427592424
 01/02  07:00:00,137.977348711,29.0348081537,0.0,0.0,13.9747600329,18.6919646116,552.318675981,547.628675981,4.67,0.02
 01/02  08:00:00,140.349439628,29.0348081537,0.0,0.0,13.9747600329,18.6919646116,490.927582971,485.093112846,4.67,1.164470125
 01/02  09:00:00,209.810114747,29.0348081537,0.0,0.0,34.9369000822,32.3179380704,448.219441718,440.026941718,8.1725,0.02
 01/02  10:00:00,234.021645003,29.0348081537,0.0,0.0,62.886420148,41.4019203762,408.659482966,396.987084149,10.5075,1.1648988163
 01/02  11:00:00,224.190017146,29.0348081537,0.0,0.0,62.886420148,41.4019203762,388.274774081,376.602254448,10.5075,1.16501963241
 01/02  12:00:00,255.008906957,29.0348081537,0.0,0.0,62.886420148,41.4019203762,370.876069485,359.203065305,10.5075,1.16550417983
 01/02  13:00:00,234.888781566,29.0348081537,0.0,0.0,62.886420148,41.4019203762,365.502355456,352.683859272,10.5075,2.31099618456
 01/02  14:00:00,231.612169907,29.0348081537,0.0,0.0,62.886420148,41.4019203762,358.903216334,347.230306853,10.5075,1.16540948132
 01/02  15:00:00,227.767351285,29.0348081537,0.0,0.0,62.886420148,41.4019203762,354.688677767,343.015977158,10.5075,1.16520060869
 01/02  16:00:00,224.357124503,29.0348081537,0.0,0.0,62.886420148,41.4019203762,349.955119215,337.137246124,10.5075,2.3103730913
 01/02  17:00:00,231.144084206,29.0348081537,0.0,0.0,62.886420148,41.4019203762,348.433736182,336.760995074,10.5075,1.16524110781
 01/02  18:00:00,237.879307235,29.0348081537,0.0,0.0,62.886420148,41.4019203762,353.233322944,341.560694109,10.5075,1.16512883424
 01/02  19:00:00,237.249415053,29.0348081537,0.0,0.0,41.9242800987,36.8599292233,362.370939501,351.865844766,9.34,1.16509473451
 01/02  20:00:00,221.051285265,29.0348081537,0.0,0.0,41.9242800987,36.8599292233,369.11644981,358.611579501,9.34,1.16487030886
 01/02  21:00:00,196.131899569,29.0348081537,0.0,0.0,34.9369000822,32.3179380704,382.1378577,372.800421853,8.1725,1.16493584732
 01/02  22:00:00,139.2190028,29.0348081537,0.0,0.0,13.9747600329,18.6919646116,366.992410483,362.302410483,4.67,0.02
 01/02  23:00:00,79.0278230897,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49950507565,0.0,2.335,1.16450507565
 01/02  24:00:00,123.545107747,8.53043361592,0.0,0.0,3.49369000822,9.08398230582,28.2973486313,25.9423486313,2.335,0.02
 01/03  01:00:00,93.9224296618,10.3410536934,0.0,0.0,3.49369000822,9.08398230582,34.9363810363,32.5813810363,2.335,0.02
 01/03  02:00:00,95.3621788989,18.0999346242,0.0,0.0,3.49369000822,9.08398230582,55.400285759,51.9009798352,2.335,1.16430592374
 01/03  03:00:00,93.6057390148,16.3743652348,0.0,0.0,3.49369000822,9.08398230582,71.4302569781,69.0752569781,2.335,0.02
 01/03  04:00:00,90.9398271707,13.7921924723,0.0,0.0,3.49369000822,9.08398230582,51.222428041,48.867428041,2.335,0.02
 01/03  05:00:00,117.651149249,18.0999346242,0.0,0.0,3.49369000822,9.08398230582,73.070500412,69.5712308236,2.335,1.16426958839
 01/03  06:00:00,115.933425596,16.3743652348,0.0,0.0,3.49369000822,9.08398230582,87.5052642772,85.1502642772,2.335,0.02
 01/03  07:00:00,154.651784276,29.0348081537,0.0,0.0,13.9747600329,18.6919646116,572.156095529,567.466095529,4.67,0.02
 01/03  08:00:00,149.309685169,29.0348081537,0.0,0.0,13.9747600329,18.6919646116,529.955919985,524.1213806,4.67,1.16453938554
 01/03  09:00:00,209.76644243,29.0348081537,0.0,0.0,34.9369000822,32.3179380704,497.009979855,487.672841841,8.1725,1.16463801373
 01/03  10:00:00,233.656174936,29.0348081537,0.0,0.0,62.886420148,41.4019203762,460.443543845,449.916043845,10.5075,0.02
 01/03  11:00:00,223.855750041,29.0348081537,0.0,0.0,62.886420148,41.4019203762,456.021182145,444.348587623,10.5075,1.16509452177
 01/03  12:00:00,254.834616971,29.0348081537,0.0,0.0,62.886420148,41.4019203762,455.945877999,443.127356236,10.5075,2.31102176296
 01/03  13:00:00,234.522276215,29.0348081537,0.0,0.0,62.886420148,41.4019203762,453.803014343,442.129829664,10.5075,1.16568467841
 01/03  14:00:00,231.081422981,29.0348081537,0.0,0.0,62.886420148,41.4019203762,451.103097284,438.284738616,10.5075,2.31085866741
 01/03  15:00:00,227.30304135,29.0348081537,0.0,0.0,62.886420148,41.4019203762,440.542067847,428.869416304,10.5075,1.16515154241
 01/03  16:00:00,223.890644343,29.0348081537,0.0,0.0,62.886420148,41.4019203762,438.551845629,426.879172781,10.5075,1.16517284836
 01/03  17:00:00,230.675505971,29.0348081537,0.0,0.0,62.886420148,41.4019203762,443.175283288,431.50247923,10.5075,1.16530405807
 01/03  18:00:00,237.445477574,29.0348081537,0.0,0.0,62.886420148,41.4019203762,454.215228947,442.542540741,10.5075,1.16518820537
 01/03  19:00:00,236.99620149,29.0348081537,0.0,0.0,41.9242800987,36.8599292233,468.901794923,458.396616845,9.34,1.16517807732
 01/03  20:00:00,214.113545412,29.0348081537,0.0,0.0,41.9242800987,36.8599292233,484.039013454,473.534022762,9.34,1.1649906913
 01/03  21:00:00,189.547057471,29.0348081537,0.0,0.0,34.9369000822,32.3179380704,502.398708141,493.06134764,8.1725,1.16486050161
 01/03  22:00:00,134.273229029,29.0348081537,0.0,0.0,13.9747600329,18.6919646116,483.047177391,477.212568954,4.67,1.16460843627
 01/03  23:00:00,84.8543333368,6.37656253994,0.0,0.0,3.49369000822,9.08398230582,29.8111526252,27.4561526252,2.335,0.02
 01/03  24:00:00,128.645845454,13.7418211119,0.0,0.0,3.49369000822,9.08398230582,62.6674370424,59.1680632707,2.335,1.16437377167
 01/04  01:00:00,101.149303819,17.9298332483,0.0,0.0,3.49369000822,9.08398230582,108.503216226,106.148216226,2.335,0.02
 01/04  02:00:00,95.3161922417,18.2480780997,0.0,0.0,3.49369000822,9.08398230582,127.076324347,124.721324347,2.335,0.02
 01/04  03:00:00,93.8753554799,16.865983071,0.0,0.0,3.49369000822,9.08398230582,127.22265233,124.86765233,2.335,0.02
 01/04  04:00:00,97.0521438602,20.3806142423,0.0,0.0,3.49369000822,9.08398230582,165.358285369,161.859002447,2.335,1.16428292137
 01/04  05:00:00,103.603792012,20.0505367258,0.0,0.0,3.49369000822,9.08398230582,167.153223413,164.798223413,2.335,0.02
 01/04  06:00:00,100.716589859,17.6384653393,0.0,0.0,3.49369000822,9.08398230582,156.105751581,153.750751581,2.335,0.02
 01/04  07:00:00,137.654943546,29.0348081537,0.0,0.0,13.9747600329,18.6919646116,724.862381546,719.028111013,4.67,1.16427053298
 01/04  08:00:00,139.954798888,29.0348081537,0.0,0.0,13.9747600329,18.6919646116,674.41003483,669.72003483,4.67,0.02
 01/04  09:00:00,209.608720597,29.0348081537,0.0,0.0,34.9369000822,32.3179380704,633.8184786,624.481321189,8.1725,1.1646574101
 01/04  10:00:00,233.522129103,29.0348081537,0.0,0.0,62.886420148,41.4019203762,593.072215816,581.399900318,10.5075,1.16481549778
 01/04  11:00:00,223.674558986,29.0348081537,0.0,0.0,62.886420148,41.4019203762,579.680345298,568.007865246,10.5075,1.16498005173
 01/04  12:00:00,254.726819817,29.0348081537,0.0,0.0,62.886420148,41.4019203762,566.992183122,555.319141734,10.5075,1.16554138831
 01/04  13:00:00,234.484587478,29.0348081537,0.0,0.0,62.886420148,41.4019203762,562.631165739,549.812541837,10.5075,2.31112390239
 01/04  14:00:00,230.918575753,29.0348081537,0.0,0.0,62.886420148,41.4019203762,556.847145179,545.174172249,10.5075,1.16547292952
 01/04  15:00:00,227.146911372,29.0348081537,0.0,0.0,62.886420148,41.4019203762,551.971290391,540.298574377,10.5075,1.16521601453
 01/04  16:00:00,223.730345699,29.0348081537,0.0,0.0,62.886420148,41.4019203762,547.485927978,535.813166525,10.5075,1.1652614535
 01/04  17:00:00,230.522577996,29.0348081537,0.0,0.0,62.886420148,41.4019203762,554.801901016,543.129272301,10.5075,1.16512871585
 01/04  18:00:00,237.297415677,29.0348081537,0.0,0.0,62.886420148,41.4019203762,563.901432662,551.083521618,10.5075,2.31041104402
 01/04  19:00:00,236.951405077,29.0348081537,0.0,0.0,41.9242800987,36.8599292233,587.087655906,576.582569532,9.34,1.16508637372
 01/04  20:00:00,220.633944401,29.0348081537,0.0,0.0,41.9242800987,36.8599292233,610.347885557,599.84305803,9.34,1.16482752764
 01/04  21:00:00,195.594501948,29.0348081537,0.0,0.0,34.9369000822,32.3179380704,628.338310596,620.145810596,8.1725,0.02
 01/04  22:00:00,138.976861482,29.0348081537,0.0,0.0,13.9747600329,18.6919646116,612.097809559,606.263162072,4.67,1.1646474875
 01/04  23:00:00,86.906531136,8.54843007019,0.0,0.0,3.49369000822,9.08398230582,51.1227546069,47.6232543141,2.335,1.1645002928
 01/04  24:00:00,134.131791128,19.3985544043,0.0,0.0,3.49369000822,9.08398230582,165.41898536,163.06398536,2.335,0.02
 01/05  01:00:00,104.710872037,21.7761061153,0.0,0.0,3.49369000822,9.08398230582,194.980248248,192.625248248,2.335,0.02
 01/05  02:00:00,92.2052581908,15.3992950223,0.0,0.0,3.49369000822,9.08398230582,158.486119684,154.986812884,2.335,1.16430679958
 01/05  03:00:00,97.259005957,20.8942151698,0.0,0.0,3.49369000822,9.08398230582,233.157469967,230.802469967,2.335,0.02
 01/05  04:00:00,98.4908904747,21.7761061153,0.0,0.0,3.49369000822,9.08398230582,227.704823836,225.349823836,2.335,0.02
 01/05  05:00:00,98.6761565663,15.3992950223,0.0,0.0,3.49369000822,9.08398230582,179.811953401,177.456953401,2.335,0.02
 01/05  06:00:00,103.249565778,20.8942151698,0.0,0.0,3.49369000822,9.08398230582,255.743523977,252.244242505,2.335,1.16428147245
 01/05  07:00:00,137.909160053,29.0348081537,0.0,0.0,13.9747600329,18.6919646116,817.91115216,813.22115216,4.67,0.02
 01/05  08:00:00,139.911120972,29.0348081537,0.0,0.0,13.9747600329,18.6919646116,755.853461429,750.018922575,4.67,1.16453885415
 01/05  09:00:00,209.598787453,29.0348081537,0.0,0.0,34.9369000822,32.3179380704,691.109125274,682.916625274,8.1725,0.02
 01/05  10:00:00,233.555852473,29.0348081537,0.0,0.0,62.886420148,41.4019203762,624.446608022,612.774134995,10.5075,1.16497302699
 01/05  11:00:00,223.678982073,29.0348081537,0.0,0.0,62.886420148,41.4019203762,574.206638151,562.53404006,10.5075,1.1650980916
 01/05  12:00:00,254.743863956,29.0348081537,0.0,0.0,62.886420148,41.4019203762,529.391726509,516.573663014,10.5075,2.31056349478
 01/05  13:00:00,234.523718987,29.0348081537,0.0,0.0,62.886420148,41.4019203762,495.608370256,483.93541035,10.5075,1.16545990576
 01/05  14:00:00,231.003894489,29.0348081537,0.0,0.0,62.886420148,41.4019203762,478.337988683,466.664981936,10.5075,1.16550674733
 01/05  15:00:00,227.229075192,29.0348081537,0.0,0.0,62.886420148,41.4019203762,461.196370358,448.378356714,10.5075,2.31051364364
 01/05  16:00:00,223.826414631,29.0348081537,0.0,0.0,62.886420148,41.4019203762,443.68798954,432.015275304,10.5075,1.16521423659
 01/05  17:00:00,230.641098799,29.0348081537,0.0,0.0,62.886420148,41.4019203762,435.895795445,424.223203648,10.5075,1.16509179659
 01/05  18:00:00,237.439696915,29.0348081537,0.0,0.0,62.886420148,41.4019203762,437.663653579,425.990909603,10.5075,1.16524397593
 01/05  19:00:00,237.017213994,29.0348081537,0.0,0.0,41.9242800987,36.8599292233,441.454131044,430.948917571,9.34,1.16521347254
 01/05  20:00:00,220.867787888,29.0348081537,0.0,0.0,41.9242800987,36.8599292233,445.683218916,435.178227488,9.34,1.16499142773
 01/05  21:00:00,195.837061447,29.0348081537,0.0,0.0,34.9369000822,32.3179380704,446.35346914,437.016110387,8.1725,1.16485875384
 01/05  22:00:00,139.098283137,29.0348081537,0.0,0.0,13.9747600329,18.6919646116,410.790976359,406.100976359,4.67,0.02
 01/05  23:00:00,78.8748032269,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49950739545,0.0,2.335,1.16450739545
 01/05  24:00:00,124.462788437,9.45916274789,0.0,0.0,3.49369000822,9.08398230582,27.8432533212,25.4882533212,2.335,0.02
 01/06  01:00:00,101.423705867,17.6589891515,0.0,0.0,3.49369000822,9.08398230582,55.2161938942,51.7169117158,2.335,1.16428217838
 01/06  02:00:00,94.7243934177,17.2562561803,0.0,0.0,3.49369000822,9.08398230582,55.1877520252,52.8327520252,2.335,0.02
 01/06  03:00:00,90.3922727726,12.9103015268,0.0,0.0,3.49369000822,9.08398230582,45.856395287,43.501395287,2.335,0.02
 01/06  04:00:00,95.4004657407,18.0999346242,0.0,0.0,3.49369000822,9.08398230582,71.3759287555,67.8766460644,2.335,1.1642826911
 01/06  05:00:00,117.202631544,17.2562561803,0.0,0.0,3.49369000822,9.08398230582,64.752075785,62.397075785,2.335,0.02
 01/06  06:00:00,112.88747081,12.9103015268,0.0,0.0,3.49369000822,9.08398230582,51.2790822644,48.9240822644,2.335,0.02
 01/06  07:00:00,154.663167492,29.0348081537,0.0,0.0,13.9747600329,18.6919646116,521.113977127,516.423977127,4.67,0.02
 01/06  08:00:00,149.672621609,29.0348081537,0.0,0.0,13.9747600329,18.6919646116,467.137541927,461.302992347,4.67,1.16454958059
 01/06  09:00:00,209.978474896,29.0348081537,0.0,0.0,34.9369000822,32.3179380704,425.422235816,416.085120431,8.1725,1.16461538429
 01/06  10:00:00,234.086765031,29.0348081537,0.0,0.0,62.886420148,41.4019203762,381.828860356,370.156543208,10.5075,1.16481714738
 01/06  11:00:00,224.136471132,29.0348081537,0.0,0.0,62.886420148,41.4019203762,369.270829183,357.598303721,10.5075,1.16502546175
 01/06  12:00:00,254.94500928,29.0348081537,0.0,0.0,62.886420148,41.4019203762,363.08806682,351.415214547,10.5075,1.16535227239
 01/06  13:00:00,234.625101291,29.0348081537,0.0,0.0,62.886420148,41.4019203762,364.116084605,352.443078729,10.5075,1.16550587576
 01/06  14:00:00,231.28205461,29.0348081537,0.0,0.0,62.886420148,41.4019203762,376.141059124,363.322378828,10.5075,2.31118029603
 01/06  15:00:00,227.432377509,29.0348081537,0.0,0.0,62.886420148,41.4019203762,385.000357369,373.327541197,10.5075,1.16531617182
 01/06  16:00:00,223.982754532,29.0348081537,0.0,0.0,62.886420148,41.4019203762,389.026131291,377.353546721,10.5075,1.16508456955
 01/06  17:00:00,230.727624572,29.0348081537,0.0,0.0,62.886420148,41.4019203762,403.693750103,392.021034612,10.5075,1.16521549077
 01/06  18:00:00,237.4529994,29.0348081537,0.0,0.0,62.886420148,41.4019203762,429.118165159,417.445566402,10.5075,1.16509875704
 01/06  19:00:00,236.991657823,29.0348081537,0.0,0.0,41.9242800987,36.8599292233,456.74752719,446.242412256,9.34,1.16511493389
 01/06  20:00:00,213.995018323,29.0348081537,0.0,0.0,41.9242800987,36.8599292233,485.135959039,474.630992032,9.34,1.16496700739
 01/06  21:00:00,189.502303103,29.0348081537,0.0,0.0,34.9369000822,32.3179380704,513.271418806,503.934074439,8.1725,1.16484436722
 01/06  22:00:00,134.254759711,29.0348081537,0.0,0.0,13.9747600329,18.6919646116,508.49368865,502.659048575,4.67,1.16464007533
 01/06  23:00:00,85.3000507291,6.88345244992,0.0,0.0,3.49369000822,9.08398230582,32.681752778,30.326752778,2.335,0.02
 01/06  24:00:00,128.673151187,13.7921924723,0.0,0.0,3.49369000822,9.08398230582,71.3861247252,67.8867517985,2.335,1.16437292665
 01/07  01:00:00,99.1511943939,18.3269492459,0.0,0.0,3.49369000822,6.81298672936,126.966348241,125.195098241,1.75125,0.02
 01/07  02:00:00,94.3386915826,19.5829933097,0.0,0.0,3.49369000822,6.81298672936,147.148049353,144.232371135,1.75125,1.16442821776
 01/07  03:00:00,91.5690223646,16.8675444213,0.0,0.0,3.49369000822,6.81298672936,134.684401798,132.913151798,1.75125,0.02
 01/07  04:00:00,95.2737184762,20.9324276713,0.0,0.0,3.49369000822,6.81298672936,183.347058266,181.575808266,1.75125,0.02
 01/07  05:00:00,101.524685686,20.2696442148,0.0,0.0,3.49369000822,6.81298672936,175.861562904,172.945977501,1.75125,1.16433540292
 01/07  06:00:00,97.6592258907,16.8675444213,0.0,0.0,3.49369000822,6.81298672936,149.85447447,148.08322447,1.75125,0.02
