Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.6690616557,4.21514315568,0.0014054194973,0.0,4.58992532963,8.1892,156.384551616,144.957689352,3.33988,8.08698226397
 01/01  02:00:00,14.6238027052,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.637383792,0.0,0.0,0.0,1.52997510988,7.4902,3.93195037183,0.0,3.33988,0.592070371829
 01/01  04:00:00,14.6465098373,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.7947317602,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  06:00:00,22.793801063,4.21514315568,0.0117818072027,0.0,4.58992532963,8.1892,172.885993222,163.944199729,8.3497,0.592093492543
 01/01  07:00:00,38.7581514169,4.21514315568,0.0128567419056,0.0,9.17985065927,19.4245,170.291184897,148.401179132,16.6994,5.19060576404
 01/01  08:00:00,44.0988073881,4.21514315568,0.00553454190501,0.0,9.17985065927,26.9147,160.304406488,130.640316204,25.0491,4.61499028426
 01/01  09:00:00,41.9907200655,4.21514315568,0.000844229746866,0.0,9.17985065927,26.9147,164.043563913,125.453906895,33.3988,5.19085701785
 01/01  10:00:00,34.5052062298,4.21514315568,0.0,0.0,9.17985065927,19.4245,155.025037422,124.784680389,25.0491,5.19125703316
 01/01  11:00:00,42.0047160847,4.21514315568,0.00251933759125,0.0,9.17985065927,26.9147,168.907360306,111.466594851,41.7485,15.6922654552
 01/01  12:00:00,42.7813443832,4.21514315568,0.0,0.0,9.17985065927,26.9147,156.737619123,98.7126256281,41.7485,16.2764934949
 01/01  13:00:00,42.0598037636,4.21514315568,0.0,0.0,9.17985065927,26.9147,142.462292479,87.9605385496,41.7485,12.7532539294
 01/01  14:00:00,34.5357821013,4.21514315568,0.0,0.0,9.17985065927,19.4245,131.690735218,84.9580473154,33.3988,13.3338879029
 01/01  15:00:00,34.537916491,4.21514315568,0.0,0.0,9.17985065927,19.4245,117.312274207,83.0113637527,25.0491,9.25181045422
 01/01  16:00:00,34.5262643109,4.21514315568,0.0,0.0,9.17985065927,19.4245,130.423832003,87.19464648,33.3988,9.83038552321
