Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,480.484772128,98.5616145057,7.56798516289,0.0,34.9616554283,113.312780494,1410.7409255,1387.60124149,5.66466996096,17.4750140515
 01/01  02:00:00,460.267547706,98.5616145057,0.0,0.0,34.9616554283,113.312780494,1642.11652229,1618.97513643,5.66466996096,17.4767159013
 01/01  03:00:00,460.75304216,98.5616145057,0.0,0.0,34.9616554283,113.312780494,1364.66741343,1341.52448905,5.66466996096,17.478254414
 01/01  04:00:00,459.622171474,98.5616145057,0.0,0.0,34.9616554283,113.312780494,1129.8748839,1106.73046175,5.66466996096,17.479752189
 01/01  05:00:00,467.479187427,98.5616145057,0.0,0.0,44.4937663224,113.312780494,1205.45012468,1182.30421685,5.66466996096,17.4812378642
 01/01  06:00:00,469.196818316,98.5616145057,0.0,0.0,44.4937663224,113.312780494,1343.55389389,1311.91714591,14.1616749024,17.4750730804
 01/01  07:00:00,537.582084833,98.5616145057,0.0,0.0,54.0258772165,176.889270242,1045.95216749,1000.15236567,28.3233498048,17.4764520109
 01/01  08:00:00,535.685900911,98.5616145057,0.0,0.0,54.0258772165,184.38654557,1002.62556886,942.66262843,42.4850247072,17.4779157232
 01/01  09:00:00,625.67668702,98.5616145057,3.2106633192,0.0,65.1572554096,220.04316451,974.949961398,891.943979576,56.6466996096,26.3592822124
 01/01  10:00:00,652.917723201,98.5616145057,25.0698128645,0.0,65.1572554096,212.545889182,865.436573192,787.914655549,42.4850247072,35.0368929353
 01/01  11:00:00,684.642438831,98.5616145057,53.4228147286,0.0,65.1572554096,220.04316451,767.046594709,660.405960071,70.808374512,35.8322601262
 01/01  12:00:00,725.171325211,98.5616145057,92.3713087057,0.0,65.1572554096,220.04316451,691.052390159,584.708948153,70.808374512,35.5350674939
 01/01  13:00:00,744.677866989,98.5616145057,116.475752901,0.0,65.1572554096,220.04316451,661.510435619,555.164097004,70.808374512,35.537964103
 01/01  14:00:00,751.625855106,98.5616145057,134.785485001,0.0,65.1572554096,212.545889182,635.013863058,542.826277148,56.6466996096,35.5408862997
 01/01  15:00:00,776.285189245,98.5616145057,159.352522482,0.0,65.1572554096,212.545889182,580.982082199,502.953260122,42.4850247072,35.5437973692
 01/01  16:00:00,776.474343761,98.5616145057,157.675801175,0.0,65.1572554096,212.545889182,629.462523852,537.269128849,56.6466996096,35.5466953935
 01/01  17:00:00,724.001864405,98.5616145057,117.608894343,0.0,65.1572554096,220.04316451,788.454122956,667.934493215,84.9700494144,35.549580327
 01/01  18:00:00,654.471772846,98.5616145057,90.0240936967,0.0,54.0258772165,184.38654557,886.237252949,765.930102227,84.9700494144,35.3371013075
 01/01  19:00:00,592.084522908,98.5616145057,54.1106448251,0.0,44.4937663224,163.454314868,1022.9353323,920.488456624,84.9700494144,17.4768262573
 01/01  20:00:00,569.916459668,98.5616145057,34.0794084708,0.0,44.4937663224,155.95703954,1098.43213322,1024.30717541,56.6466996096,17.4782582039
 01/01  21:00:00,546.850469294,98.5616145057,39.932206791,0.0,44.4937663224,124.558693486,1038.53380043,964.407369788,56.6466996096,17.4797310339
 01/01  22:00:00,546.111924398,98.5616145057,39.1581685409,0.0,44.4937663224,124.558693486,1019.52158908,959.555353497,42.4850247072,17.4812108788
 01/01  23:00:00,537.821576992,98.5616145057,37.9940033158,0.0,34.9616554283,124.558693486,1012.63022074,966.831821606,28.3233498048,17.4750493252
 01/01  24:00:00,545.838581759,98.5616145057,45.3012976535,0.0,34.9616554283,124.558693486,945.49998926,913.861889897,14.1616749024,17.4764244604
 01/02  01:00:00,543.146902751,98.5616145057,45.7602191994,0.0,46.0930336215,113.312780494,946.118193193,922.975327545,5.66466996096,17.478195687
 01/02  02:00:00,542.619725968,98.5616145057,46.5038434391,0.0,46.0930336215,113.312780494,948.995583554,925.850958539,5.66466996096,17.4799550543
 01/02  03:00:00,564.594642724,98.5616145057,71.3276077486,0.0,46.0930336215,113.312780494,869.416153057,837.542354626,5.66466996096,26.2091284707
 01/02  04:00:00,584.270037625,98.5616145057,94.8006178548,0.0,46.0930336215,113.312780494,822.824640545,799.683811797,5.66466996096,17.4761587872
 01/02  05:00:00,674.206520354,98.5616145057,103.428745621,0.0,100.150657288,148.969399434,785.753225258,762.610888033,5.66466996096,17.4776672637
 01/02  06:00:00,698.907644673,98.5616145057,127.820028093,0.0,100.150657288,149.894399434,1327.70999214,1296.06908752,14.1616749024,17.4792297248
 01/02  07:00:00,940.558165172,98.5616145057,147.725122741,0.0,176.471037341,302.612436532,845.39756158,799.593470467,28.3233498048,17.4807413083
 01/02  08:00:00,1095.28023891,98.5616145057,198.280820268,0.0,243.2593065,310.10971186,719.923482526,650.911654217,42.4850247072,26.5268036021
 01/02  09:00:00,1176.96341932,98.5616145057,249.72844637,0.0,243.2593065,310.10971186,702.185434774,601.037931832,56.6466996096,44.5008033323
 01/02  10:00:00,1230.02123251,98.5616145057,269.180509487,0.0,243.2593065,302.612436532,668.369886283,581.148009065,42.4850247072,44.7368525104
 01/02  11:00:00,1248.11996311,98.5616145057,279.853400447,0.0,243.2593065,310.10971186,668.268691267,552.378587516,70.808374512,45.0817292381
 01/02  12:00:00,1261.36000331,98.5616145057,292.04870942,0.0,243.2593065,310.10971186,652.27871727,527.234294873,70.808374512,54.2360478852
 01/02  13:00:00,1228.66853192,98.569292598,302.864972482,0.0,243.2593065,310.10971186,622.956851428,507.270765985,70.808374512,44.8777109307
 01/02  14:00:00,1271.35317803,98.6734988568,313.428113357,0.0,243.2593065,302.612436532,609.300361086,498.411590292,56.6466996096,54.242071184
 01/02  15:00:00,1275.06311387,98.7937367025,318.601889993,0.0,243.2593065,302.612436532,580.94406034,484.364030178,42.4850247072,54.095005455
 01/02  16:00:00,1270.13999902,98.9033086977,313.771212111,0.0,243.2593065,302.612436532,560.854339351,459.24043518,56.6466996096,44.9672045608
 01/02  17:00:00,1257.45433078,98.9986163265,282.979554317,0.0,243.2593065,310.10971186,594.431755986,464.816092463,84.9700494144,44.6456141088
 01/02  18:00:00,1236.88463018,99.0886008724,258.763431327,0.0,243.2593065,310.10971186,579.917788286,468.524083742,84.9700494144,26.4236551296
 01/02  19:00:00,928.978683875,98.5616145057,209.634169012,0.0,166.938926447,199.110933808,586.26587244,474.988751166,84.9700494144,26.3070718603
 01/02  20:00:00,907.982675425,98.5616145057,195.084529996,0.0,166.938926447,191.61365848,571.304828037,497.116326187,56.6466996096,17.5418022405
 01/02  21:00:00,775.977598939,98.5616145057,197.505388096,0.0,100.150657288,124.558693486,617.536821989,534.584802488,56.6466996096,26.3053198916
