Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,142.483810196,31.3575019547,15.1745826619,2.85134468943,34.4311606118,33.1021868926,262.727265095,98.8687803563,3.33212,160.526364738
 01/01  02:00:00,136.024873716,31.3575019547,8.32769300403,3.18661966956,34.4311606118,33.1021868926,210.258940937,89.1752863756,3.33212,117.751534561
 01/01  03:00:00,116.581277713,31.3575019547,6.08221886427,3.46570315191,19.466279405,30.610668775,211.464097382,85.3314069712,3.33212,122.800570411
 01/01  04:00:00,115.879903644,31.3575019547,5.15323778089,3.7053316055,19.466279405,30.610668775,209.192550009,83.0559267716,3.33212,122.804503237
 01/01  05:00:00,122.598934204,31.3575019547,5.02758692927,3.98043848845,19.466279405,30.610668775,247.216899815,82.1271181758,3.33212,161.757661639
 01/01  06:00:00,135.400161537,31.3575019547,5.38165906293,4.1854829102,19.466279405,30.610668775,289.232559254,83.010873598,8.3303,197.891385656
 01/01  07:00:00,212.946187113,34.0137405767,10.6903697503,2.2534357634,42.6918050922,54.3732441037,394.759594878,88.4250774293,16.6606,289.673917449
 01/01  08:00:00,285.589713749,36.6699791988,33.686101331,1.65131145453,49.3960418185,88.5934452969,1019.41121251,519.016619227,24.9909,475.403693282
 01/01  09:00:00,345.884501055,36.6699791988,71.1771357402,0.999886430691,57.6566862989,112.030105488,1251.99021667,545.892090337,33.3212,672.776926332
 01/01  10:00:00,277.471140697,36.6699791988,59.5998248237,0.436725825704,50.9524495726,81.1684271793,1046.40256559,493.156011249,66.8089,486.437654339
 01/01  11:00:00,224.838046892,36.6265669216,52.6125309795,0.0,42.6918050922,68.9656133826,896.9006721,444.711240397,83.4695,368.719931704
 01/01  12:00:00,218.005505935,36.6392717594,49.5596190976,0.0,38.286128036,68.9656133826,789.287958553,413.605838237,83.4695,292.212620316
 01/01  13:00:00,216.455221398,36.7111456521,48.8322270351,0.0,38.286128036,68.9656133826,685.555808995,388.063921988,83.4695,214.022387007
 01/01  14:00:00,193.922050882,36.7834869945,45.1932833402,0.0,31.5818913096,56.727595265,665.936568621,382.972573831,75.1392,207.82479479
 01/01  15:00:00,197.625334685,36.8584829352,48.8498000964,0.0,31.5818913096,56.727595265,641.034436489,366.766666735,66.8089,207.458869754
 01/01  16:00:00,188.260426314,36.859999978,39.5079345501,0.0,31.5818913096,56.727595265,654.106903686,366.172269304,75.1392,212.795434382
 01/01  17:00:00,216.194623719,36.6499427935,24.4114309759,0.0,31.5818913096,61.661095265,649.695649092,395.661027155,91.7998,162.234821937
 01/01  18:00:00,249.331256333,36.6279673176,26.9983144804,0.0,31.5818913096,70.9729253606,701.705678826,446.01314876,49.9818,205.710730066
 01/01  19:00:00,320.627576733,36.6279673176,36.5204684002,0.0,80.3315023541,83.7685254822,774.999493076,478.915220521,49.9818,246.102472555
 01/01  20:00:00,335.559770048,36.6279673176,47.4770850451,0.0,102.000620287,77.6748002752,858.3162569,503.632052795,33.3212,321.363004106
 01/01  21:00:00,364.436181667,36.6363696939,55.85224623,0.0,108.704857014,91.4735406516,851.16864263,497.884691153,33.3212,319.962751477
 01/01  22:00:00,337.591563715,36.6447720701,57.1661988347,0.0,95.2963835608,89.1510273009,834.120422853,487.813236267,24.9909,321.316286587
 01/01  23:00:00,282.668513077,36.6447720701,55.3807535553,0.0,80.3315023541,63.3799339444,995.385827498,501.779218599,16.6606,476.946008899
 01/01  24:00:00,195.941289391,36.6279673176,33.0215381936,0.0,42.6918050922,48.4199368926,786.511477629,504.975271602,8.3303,273.205906026
 01/02  01:00:00,134.484100507,31.3575019547,18.8941486158,2.56982184585,25.5240853573,30.610668775,258.670423295,95.7296350976,3.33212,159.608668197
 01/02  02:00:00,120.406231518,31.3575019547,12.0666080515,2.64314496818,19.418418834,29.3649097162,206.039942932,80.0799462637,3.33212,122.627876668
 01/02  03:00:00,111.598113652,31.3575019547,11.10417431,2.70205597313,12.7620426787,28.1191506574,197.641387691,71.6601991712,3.33212,122.64906852
 01/02  04:00:00,111.215283819,31.3575019547,10.7248020203,2.70774310658,12.7620426787,28.1191506574,185.778979778,66.2803297297,3.33212,116.166530048
 01/02  05:00:00,118.812330206,31.3575019547,11.8155900262,2.6387474362,12.7620426787,28.1191506574,228.303322897,63.1147612982,3.33212,161.856441599
 01/02  06:00:00,156.794887567,31.3575019547,22.4507418146,2.36062584548,25.5240853573,30.610668775,347.612712015,60.0616937127,8.3303,279.220718303
 01/02  07:00:00,285.043671174,31.3575019547,53.256058254,1.94790220966,51.0481707146,78.1489452969,550.115511503,54.6996920292,16.6606,478.755219474
 01/02  08:00:00,364.304458252,36.6478878779,78.1348671253,0.0,64.3609230253,109.708623606,946.970392952,288.593005929,24.9909,633.386487023
 01/02  09:00:00,290.129789706,36.6279673176,55.0567052732,0.0,51.0481707146,80.7689615957,801.789981174,280.99415474,33.3212,487.474626435
 01/02  10:00:00,251.692262883,37.2064241433,44.2559862401,0.0,51.0481707146,71.0224615957,712.486893475,277.422193589,66.8089,368.255799885
 01/02  11:00:00,191.395690526,37.3031684425,32.999855864,0.0,32.1804615127,65.7244621605,637.601406056,267.996591086,83.4695,286.13531497
 01/02  12:00:00,187.673615454,37.3809794423,29.06152945,0.0,32.1804615127,65.7244621605,548.879980736,252.818315673,83.4695,212.592165063
