Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,114.735241451,25.1551757834,2.17077106052,12.8076896366,4.12243109448,15.9888894789,99.5967082903,96.6049778725,2.97173041782,0.02
 01/02  02:00:00,107.112351982,21.040891819,0.025398923446,13.2948399238,4.12243109448,15.9888894789,92.381609348,89.3898789302,2.97173041782,0.02
 01/02  03:00:00,126.941403986,26.3011147737,0.472085998046,18.5374396253,4.12243109448,15.9888894789,110.050046106,107.058315688,2.97173041782,0.02
 01/02  04:00:00,108.670516308,21.040891819,1.06664567814,15.5619900389,4.12243109448,15.9888894789,86.5788032044,83.5870727866,2.97173041782,0.02
 01/02  05:00:00,154.064029936,31.0918657315,1.9643895328,17.8850856838,12.3672932834,24.9413748627,122.202161462,117.229277432,4.9528840297,0.02
 01/02  06:00:00,181.869864693,30.6299137694,6.5968712967,43.8824432207,12.3672932834,24.9413748627,187.894522125,182.921638095,4.9528840297,0.02
 01/02  07:00:00,239.336156742,31.626503926,8.10762425315,44.3677013786,24.7345865669,70.7195625826,178.72845656,168.8026885,9.90576805939,0.02
 01/02  08:00:00,248.387645956,31.7077308802,11.2459989167,32.0208761064,37.1018798503,92.3937384068,150.971088585,141.045320525,9.90576805939,0.02
 01/02  09:00:00,245.825275897,31.7264605964,14.2919667591,27.22196852,37.1018798503,104.434947198,133.0726698,123.146901741,9.90576805939,0.02
 01/02  10:00:00,253.891192998,31.7377969726,14.9707691602,23.7965542415,37.1018798503,116.476155989,134.830903703,116.289953145,9.90576805939,8.63518249826
 01/02  11:00:00,250.228796108,31.7502449225,15.2470522508,20.6156160011,37.1018798503,116.476155989,121.95371208,112.027944021,9.90576805939,0.02
 01/02  12:00:00,247.28777237,31.7749289031,15.7715038345,17.5932641735,37.1018798503,116.476155989,126.245562872,107.696612079,9.90576805939,8.64318273386
 01/02  13:00:00,233.025607989,31.8088603798,16.2738479859,14.9952767531,37.1018798503,104.434947198,123.625772774,105.082710664,9.90576805939,8.63729405045
 01/02  14:00:00,241.243748451,31.8369145729,16.7935560278,13.4870151942,37.1018798503,116.476155989,113.674867129,103.74909907,9.90576805939,0.02
 01/02  15:00:00,239.064566098,31.8703815573,17.0313266794,12.0069554923,37.1018798503,116.476155989,120.842451231,102.295481532,9.90576805939,8.64120163921
 01/02  16:00:00,237.260711435,31.9251364736,16.7021045986,10.1960952239,37.1018798503,116.476155989,109.495974157,99.5702060979,9.90576805939,0.02
 01/02  17:00:00,250.383404078,31.9293012725,14.9314312639,11.0785524436,37.1018798503,116.476155989,119.035054277,100.495788503,9.90576805939,8.63349771382
 01/02  18:00:00,254.561794963,31.9381701883,13.531674893,11.6391802824,37.1018798503,116.476155989,113.653787166,103.728019106,9.90576805939,0.02
 01/02  19:00:00,161.199692486,29.996431072,7.4763518969,0.10062140561,24.7345865669,47.5788473902,85.7957863198,80.8229022901,4.9528840297,0.02
 01/02  20:00:00,162.4568475,30.465903069,6.24157438387,0.497393027569,24.7345865669,47.5788473902,99.1400765006,85.5765613622,4.9528840297,8.61063110874
 01/02  21:00:00,140.893854277,29.2139777438,6.55812156207,0.580012183633,12.3672932834,38.6892022431,103.398784171,100.407053753,2.97173041782,0.02
 01/02  22:00:00,118.835847054,24.4040205883,5.50906165359,3.16389341088,12.3672932834,27.0668015668,89.5153911846,86.5236607668,2.97173041782,0.02
 01/02  23:00:00,94.0589648829,21.040891819,4.99751387888,6.90158682308,4.12243109448,15.9888894789,79.3933451062,76.4016146884,2.97173041782,0.02
 01/02  24:00:00,111.351950371,26.3011147737,7.05752299967,10.8260176387,4.12243109448,15.9888894789,101.446957874,98.4552274562,2.97173041782,0.02
 01/03  01:00:00,97.202847984,21.040891819,5.41745078655,10.2600303291,4.12243109448,15.9888894789,82.4346679957,79.4429375779,2.97173041782,0.02
 01/03  02:00:00,114.531023207,26.3011147737,7.73843695869,13.8172439769,4.12243109448,15.9888894789,103.697126334,100.705395916,2.97173041782,0.02
 01/03  03:00:00,97.3416076151,21.040891819,7.06204709712,11.9952814797,4.12243109448,15.9888894789,83.961417486,80.9696870681,2.97173041782,0.02
 01/03  04:00:00,113.760804038,26.3011147737,9.65102938323,15.3736605434,4.12243109448,15.9888894789,105.294409524,102.302679106,2.97173041782,0.02
 01/03  05:00:00,136.853419587,30.6223937346,11.248244544,10.22403651,12.3672932834,24.9413748627,118.126762985,113.153878955,4.9528840297,0.02
 01/03  06:00:00,178.17365439,31.0996037879,14.3264843311,47.4465908674,12.3672932834,24.9413748627,184.873543656,179.900659627,4.9528840297,0.02
 01/03  07:00:00,226.04419933,31.6184922852,13.1230964813,36.9419209882,24.7345865669,70.7195625826,161.215135773,151.289367714,9.90576805939,0.02
 01/03  08:00:00,240.422602629,31.7046750172,13.4923449177,26.1430558936,37.1018798503,92.3937384068,140.475891065,130.550123005,9.90576805939,0.02
 01/03  09:00:00,236.158801932,31.7268969974,15.0035169281,19.5328362371,37.1018798503,104.434947198,134.689049957,116.152158944,9.90576805939,8.6311229541
 01/03  10:00:00,240.687844232,31.7944148702,17.8657346747,14.611757238,37.1018798503,116.476155989,116.696007942,106.770239883,9.90576805939,0.02
 01/03  11:00:00,237.352448506,31.9344156818,20.1722952559,12.0731021838,37.1018798503,116.476155989,119.864192415,101.317048845,9.90576805939,8.64137551024
 01/03  12:00:00,234.595922987,32.1919713544,20.8541424138,10.150593087,37.1018798503,116.476155989,106.773164329,96.8473962695,9.90576805939,0.02
 01/03  13:00:00,220.846717621,32.4322538185,21.6174123933,8.53268589499,37.1018798503,104.434947198,112.255149931,93.711573998,9.90576805939,8.63780787383
 01/03  14:00:00,229.219667509,32.609553129,22.3315101847,7.12525819793,37.1018798503,116.476155989,110.080485403,91.5313537523,9.90576805939,8.64336359078
 01/03  15:00:00,227.886266198,32.6686579296,22.5572469442,5.9458710115,37.1018798503,116.476155989,100.092503178,90.166735119,9.90576805939,0.02
 01/03  16:00:00,227.030174189,32.525297998,21.4115547045,5.51828195592,37.1018798503,116.476155989,109.277352392,90.7323779201,9.90576805939,8.63920641214
 01/03  17:00:00,238.987822039,32.1938059432,20.0072156295,5.53506546781,37.1018798503,116.476155989,103.921185736,93.9954176765,9.90576805939,0.02
 01/03  18:00:00,243.997064088,32.0920327043,19.5948176409,5.61897588261,37.1018798503,116.476155989,114.148818138,95.6209140413,9.90576805939,8.62213603689
 01/03  19:00:00,155.436596259,29.996431072,15.9319364784,0.0,24.7345865669,47.5788473902,80.2776439336,75.3047599039,4.9528840297,0.02
 01/03  20:00:00,157.232649881,30.465903069,15.0845288183,0.00135605290135,24.7345865669,47.5788473902,85.6054693312,80.6325853015,4.9528840297,0.02
 01/03  21:00:00,138.492263676,29.2139777438,15.6810653616,0.0388255904168,12.3672932834,38.6892022431,98.779596371,95.7878659532,2.97173041782,0.02
 01/03  22:00:00,111.442531321,22.037454406,12.5763838649,0.0,12.3672932834,27.0668015668,84.0929983856,81.1012679678,2.97173041782,0.02
 01/03  23:00:00,85.910397316,20.571419822,9.19758327747,0.60620040485,4.12243109448,15.9888894789,76.2990983678,73.3073679499,2.97173041782,0.02
 01/03  24:00:00,98.1827390263,23.9537547891,11.0357979324,0.0,4.12243109448,15.9888894789,98.4250952595,95.4333648417,2.97173041782,0.02
 01/04  01:00:00,86.5255380588,19.8672118267,9.39256742148,0.754060370744,4.12243109448,15.9888894789,80.3350276031,77.3432971853,2.97173041782,0.02
 01/04  02:00:00,102.390347538,25.8316427768,11.4198100412,3.61448225834,4.12243109448,15.9888894789,100.515925748,97.5241953297,2.97173041782,0.02
 01/04  03:00:00,90.4205050885,21.040891819,8.93313982268,4.72794170001,4.12243109448,15.9888894789,81.8028716295,78.8111412117,2.97173041782,0.02
 01/04  04:00:00,107.527184046,26.3011147737,11.2012151651,7.49042758319,4.12243109448,15.9888894789,102.7821691,99.7904386825,2.97173041782,0.02
 01/04  05:00:00,131.914763466,30.6223937346,13.6219177051,4.72395920132,12.3672932834,24.9413748627,115.433756482,110.460872452,4.9528840297,0.02
 01/04  06:00:00,167.751704184,31.124763817,18.3326234995,35.9155306455,12.3672932834,24.9413748627,181.761275519,176.78839149,4.9528840297,0.02
 01/04  07:00:00,216.379939267,31.6612198295,19.0372162385,25.8632259907,24.7345865669,70.7195625826,147.842488389,137.916720329,9.90576805939,0.02
 01/04  08:00:00,232.439383297,31.7662706645,18.4578346076,17.7428793392,37.1018798503,92.3937384068,136.98986615,118.474001288,9.90576805939,8.61009680255
 01/04  09:00:00,229.25422412,31.8735522094,19.2135417398,12.2546244154,37.1018798503,104.434947198,120.364303004,110.438534945,9.90576805939,0.02
 01/04  10:00:00,236.592667272,32.0166360009,20.9403359952,9.1776945753,37.1018798503,116.476155989,122.336599658,103.795579567,9.90576805939,8.63525203103
 01/04  11:00:00,233.99929999,32.2977116654,21.5759321704,8.32328806766,37.1018798503,116.476155989,108.657682859,98.7319147997,9.90576805939,0.02
 01/04  12:00:00,233.499850388,32.6509126451,22.149769416,7.12425359347,37.1018798503,116.476155989,112.915951077,94.3667355352,9.90576805939,8.64344748202
 01/04  13:00:00,222.489806619,32.9547741464,22.5573751798,5.90948397517,37.1018798503,104.434947198,101.095243307,91.1694752475,9.90576805939,0.02
 01/04  14:00:00,232.218858229,33.123355945,22.8189463652,4.91369808226,37.1018798503,116.476155989,107.851765103,89.3024840399,9.90576805939,8.64351300385
 01/04  15:00:00,229.6486695,33.133667922,21.8598599823,4.2702095645,37.1018798503,116.476155989,106.847876714,88.3007932215,9.90576805939,8.64131543305
