Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,61.362273535,5.89417606524,0.0,0.0,15.863942322,29.242365,200.784890523,197.559210523,3.20568,0.02
 01/01  02:00:00,60.7630048184,5.29408721803,0.0,0.0,15.863942322,29.242365,194.77912356,191.55344356,3.20568,0.02
 01/01  03:00:00,61.995466192,6.33621963851,0.0,0.0,15.863942322,29.242365,272.185800608,266.096771382,3.20568,2.88334922593
 01/01  04:00:00,60.7948862909,5.29408721803,0.0,0.0,15.863942322,29.242365,188.400870732,185.175190732,3.20568,0.02
 01/01  05:00:00,62.2579021545,6.33621963851,0.0,0.0,15.863942322,29.242365,270.05014422,263.961121391,3.20568,2.88334282911
 01/01  06:00:00,61.05276254,5.29408721803,0.0,0.0,15.863942322,29.242365,201.725121366,198.499441366,3.20568,0.02
 01/01  07:00:00,62.3018846761,6.33621963851,0.0,0.0,15.863942322,29.242365,269.717164205,263.628147623,3.20568,2.88333658125
 01/01  08:00:00,56.6028596812,5.29408721803,0.0,0.0,15.863942322,29.242365,161.032142012,157.806462012,3.20568,0.02
 01/01  09:00:00,53.4398880726,6.33621963851,0.0,0.0,15.863942322,29.242365,203.331602334,197.240698679,3.20568,2.88522365415
 01/01  10:00:00,52.2325492224,5.29408721803,0.0,0.0,15.863942322,29.242365,128.652555076,122.561593028,3.20568,2.88528204754
 01/01  11:00:00,53.1476303247,6.21115769005,0.0,0.0,15.863942322,29.242365,134.168146142,130.942466142,3.20568,0.02
 01/01  12:00:00,52.4986668316,4.90399197395,0.0,0.0,15.863942322,29.242365,80.0091989506,73.9182613407,3.20568,2.88525760992
 01/01  13:00:00,51.5073802335,4.6695439516,0.0,0.0,15.863942322,29.242365,77.7458493448,71.6549363241,3.20568,2.88523302073
 01/01  14:00:00,50.4925607154,3.61309114707,0.0,0.0,15.863942322,29.242365,47.3945239815,44.1688439815,3.20568,0.02
 01/01  15:00:00,49.9931184839,3.08206708549,0.0,0.0,15.863942322,29.242365,41.3333611261,35.2443271608,3.20568,2.8833539653
 01/01  16:00:00,49.9905421066,3.08206708549,0.0,0.0,15.863942322,29.242365,37.293698509,34.068018509,3.20568,0.02
 01/01  17:00:00,57.3455829436,3.38009236228,0.0,0.0,15.863942322,29.242365,45.2238469733,39.1348186464,3.20568,2.88334832684
 01/01  18:00:00,60.4520766316,5.04261664955,0.0,0.0,15.863942322,29.242365,65.4350399884,62.2093599884,3.20568,0.02
 01/01  19:00:00,59.8310028671,4.41216333927,0.0,0.0,15.863942322,29.242365,70.8093657151,64.7203442425,3.20568,2.88334147259
 01/01  20:00:00,61.4602285998,5.78931472896,0.0,0.0,15.863942322,29.242365,108.091418243,104.865738243,3.20568,0.02
 01/01  21:00:00,60.3480180578,4.69378986544,0.0,0.0,15.863942322,29.242365,103.450340296,97.3613244713,3.20568,2.88333582437
 01/01  22:00:00,62.0215484375,6.41125680758,0.0,0.0,15.863942322,29.242365,178.743878574,175.518198574,3.20568,0.02
 01/01  23:00:00,60.5474141782,5.14401287988,0.0,0.0,15.863942322,29.242365,159.192556564,153.103546793,3.20568,2.88332977193
 01/01  24:00:00,62.6680562865,6.46128158696,0.0,0.0,15.863942322,29.242365,195.283505116,192.057825116,3.20568,0.02
 01/02  01:00:00,60.56817817,5.16902526957,0.0,0.0,15.863942322,29.242365,158.324998426,152.234040895,3.20568,2.88527753079
 01/02  02:00:00,61.9396810978,6.46128158696,0.0,0.0,15.863942322,29.242365,196.408720337,193.183040337,3.20568,0.02
 01/02  03:00:00,60.5801265983,5.16902526957,0.0,0.0,15.863942322,29.242365,153.088910639,146.997972925,3.20568,2.885257714
 01/02  04:00:00,61.9330071321,6.46128158696,0.0,0.0,15.863942322,29.242365,182.334465862,176.243997368,3.20568,2.88478849438
 01/02  05:00:00,60.7872813838,5.16902526957,0.0,0.0,15.863942322,29.242365,142.111571994,136.02061965,3.20568,2.88527234399
 01/02  06:00:00,62.1136126132,6.46128158696,0.0,0.0,15.863942322,29.242365,162.944955501,159.719275501,3.20568,0.02
 01/02  07:00:00,67.0845137074,7.75353790436,0.00192881687366,0.0,15.863942322,29.818365,736.746729552,730.655880391,3.20568,2.88516916156
 01/02  08:00:00,127.167953181,7.75353790436,0.00124249775839,0.0,80.527626,29.818365,510.236951811,504.141344435,3.20568,2.88992737549
 01/02  09:00:00,166.459997008,7.75353790436,0.00684903739148,0.0,80.527626,75.0917375,335.774848426,297.248230968,24.0426,14.4840174577
 01/02  10:00:00,166.226874602,7.75353790436,0.00289370211399,0.0,80.527626,75.0917375,312.851970101,268.362657087,24.0426,20.4467130138
 01/02  11:00:00,170.102950187,7.75353790436,0.00366183206059,0.0,80.527626,79.0911225,287.158839947,231.711712528,32.0568,23.3903274192
 01/02  12:00:00,170.750290105,7.75353790436,0.0,0.0,80.527626,79.0911225,237.014254487,181.499208183,32.0568,23.4582463042
 01/02  13:00:00,169.910683315,7.75353790436,0.0,0.0,80.527626,79.0911225,221.775479238,160.323001108,32.0568,29.3956781304
 01/02  14:00:00,165.873440721,7.75353790436,0.0,0.0,80.527626,75.0917375,207.572753499,162.109371768,16.0284,29.4349817312
 01/02  15:00:00,165.846714226,7.75353790436,0.0,0.0,80.527626,75.0917375,197.210412638,157.806723024,16.0284,23.3752896141
 01/02  16:00:00,163.849036044,7.75353790436,0.0,0.0,80.527626,73.092045,193.161257665,166.550975478,3.20568,23.4046021878
 01/02  17:00:00,171.161663346,7.75353790436,0.0,0.0,80.527626,73.092045,218.103990973,212.008300248,3.20568,2.89001072443
 01/02  18:00:00,129.716936863,7.75353790436,0.0,0.0,80.527626,29.818365,260.261674595,254.166257813,3.20568,2.88973678198
 01/02  19:00:00,130.054986221,7.75353790436,0.0,0.0,80.527626,29.818365,310.391764295,298.531006455,3.20568,8.65507783999
 01/02  20:00:00,130.283033393,7.75353790436,0.0,0.0,80.527626,29.818365,329.031497757,317.153741171,3.20568,8.67207658575
 01/02  21:00:00,130.276198962,7.75353790436,0.0,0.0,80.527626,29.818365,328.660585253,316.791748729,3.20568,8.66315652376
 01/02  22:00:00,55.4359973186,0.0,0.0,0.0,15.863942322,29.242365,8.98883091693,0.0,3.20568,5.78315091693
 01/02  23:00:00,55.3308099303,0.0,0.0,0.0,15.863942322,29.242365,8.96939785142,0.0,3.20568,5.76371785142
 01/02  24:00:00,56.1295422806,0.0,0.0,0.0,15.863942322,29.242365,6.09451617558,0.0,3.20568,2.88883617558
 01/03  01:00:00,55.363569132,0.0,0.0,0.0,15.863942322,29.242365,6.09074808641,0.0,3.20568,2.88506808641
 01/03  02:00:00,55.3636807938,0.0,0.0,0.0,15.863942322,29.242365,6.09089732421,0.0,3.20568,2.88521732421
 01/03  03:00:00,56.3831106033,1.01919546354,0.0,0.0,15.863942322,29.242365,3.83255528136,0.606875281365,3.20568,0.02
 01/03  04:00:00,56.3669117543,1.00289199793,0.0,0.0,15.863942322,29.242365,6.72323052105,0.632320413181,3.20568,2.88523010787
 01/03  05:00:00,57.8604157247,1.42982580069,0.0,0.0,15.863942322,29.242365,7.16835131854,1.07743099237,3.20568,2.88524032617
 01/03  06:00:00,58.0425803845,1.78728225086,0.0,0.0,15.863942322,29.242365,4.70679945184,1.48111945184,3.20568,0.02
 01/03  07:00:00,66.8807138933,7.75353790436,0.00486189107057,0.0,15.863942322,29.818365,521.560702618,515.469741428,3.20568,2.88528119055
 01/03  08:00:00,125.842134276,7.75353790436,0.000521906135848,0.0,80.527626,29.818365,362.148769468,356.053304455,3.20568,2.88978501248
 01/03  09:00:00,166.100130384,7.75353790436,0.00731187039241,0.0,80.527626,75.0917375,263.748525802,225.222259705,24.0426,14.4836660971
 01/03  10:00:00,165.76826552,7.75353790436,0.0037187065471,0.0,80.527626,75.0917375,180.246427777,135.756409572,24.0426,20.4474182053
 01/03  11:00:00,169.689334959,7.80603222765,0.00196745712932,0.0,80.527626,79.0911225,152.37699006,96.929429656,32.0568,23.3907604037
 01/03  12:00:00,171.068220644,8.45482917352,0.0,0.0,80.527626,79.0911225,136.751511779,78.3009218678,32.0568,26.3937899114
 01/03  13:00:00,170.946565265,9.06939521265,0.0,0.0,80.527626,79.0911225,127.563022479,69.0488402231,32.0568,26.4573822559
 01/03  14:00:00,167.240456763,9.36015476756,0.0,0.0,80.527626,75.0917375,118.036488754,72.5738037235,16.0284,29.4342850308
 01/03  15:00:00,167.212387981,9.33831183969,0.0,0.0,80.527626,75.0917375,109.370551907,69.9669648073,16.0284,23.3751870993
 01/03  16:00:00,164.554220104,8.67934848713,0.0,0.0,80.527626,73.092045,121.006909831,94.396668303,3.20568,23.4045615279
 01/03  17:00:00,170.674856754,7.76182468337,0.0,0.0,80.527626,73.092045,114.718428217,108.622812888,3.20568,2.88993532936
 01/03  18:00:00,128.829193273,7.75353790436,0.0,0.0,80.527626,29.818365,127.685803874,118.720550017,3.20568,5.75957385743
 01/03  19:00:00,128.866270462,7.75353790436,0.0,0.0,80.527626,29.818365,145.576800938,136.594647477,3.20568,5.77647346087
 01/03  20:00:00,128.897151613,7.75353790436,0.0,0.0,80.527626,29.818365,160.526183056,148.648617241,3.20568,8.67188581572
 01/03  21:00:00,128.861202017,7.75353790436,0.0,0.0,80.527626,29.818365,145.406855713,133.537905645,3.20568,8.66327006763
 01/03  22:00:00,55.3695592163,0.0,0.0,0.0,15.863942322,29.242365,11.8697389424,0.0,3.20568,8.66405894238
 01/03  23:00:00,55.3895456109,0.0,0.0,0.0,15.863942322,29.242365,6.09774699767,0.0,3.20568,2.89206699767
 01/03  24:00:00,56.1706500677,0.0,0.0,0.0,15.863942322,29.242365,6.09481066992,0.0,3.20568,2.88913066992
 01/04  01:00:00,55.4254418275,0.0,0.0,0.0,15.863942322,29.242365,6.09095480541,0.0,3.20568,2.88527480541
 01/04  02:00:00,55.4227603461,0.0,0.0,0.0,15.863942322,29.242365,6.09083305624,0.0,3.20568,2.88515305624
 01/04  03:00:00,55.4167397268,0.0,0.0,0.0,15.863942322,29.242365,6.09098642142,0.0,3.20568,2.88530642142
 01/04  04:00:00,55.410008128,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/04  05:00:00,55.6279957429,0.0,0.0,0.0,15.863942322,29.242365,6.09086433034,0.0,3.20568,2.88518433034
 01/04  06:00:00,55.6266719801,0.0,0.0,0.0,15.863942322,29.242365,6.0907422854,0.0,3.20568,2.8850622854
 01/04  07:00:00,64.7352228024,7.75353790436,0.00480416987843,0.0,15.863942322,29.818365,343.810301936,340.584621936,3.20568,0.02
 01/04  08:00:00,124.808367543,7.75353790436,0.00103568604052,0.0,80.527626,29.818365,240.657619722,231.692088702,3.20568,5.75985102046
 01/04  09:00:00,165.653726459,7.75353790436,0.00919566175581,0.0,80.527626,75.0917375,178.479876579,142.846068991,24.0426,11.591207588
 01/04  10:00:00,165.625837491,7.7682359645,0.00358741188738,0.0,80.527626,75.0917375,141.281231174,96.790366516,24.0426,20.4482646583
 01/04  11:00:00,170.161919688,8.29833783112,0.00194395056618,0.0,80.527626,79.0911225,145.069642261,89.6212600693,32.0568,23.3915821914
 01/04  12:00:00,171.708480477,9.12520940749,0.0,0.0,80.527626,79.0911225,124.348893187,65.899357549,32.0568,26.3927356377
 01/04  13:00:00,171.700931425,9.84073608352,0.0,0.0,80.527626,79.0911225,120.699367045,59.2452387299,32.0568,29.3973283149
 01/04  14:00:00,168.171160636,10.2963064198,0.0,0.0,80.527626,75.0917375,114.506586797,69.0396682124,16.0284,29.438518585
 01/04  15:00:00,168.038057608,10.1300905856,0.0,0.0,80.527626,75.0917375,129.103216389,92.6200496866,16.0284,20.4547667022
 01/04  16:00:00,165.104028087,9.11904244966,0.0,0.0,80.527626,73.092045,178.314916383,151.701509441,3.20568,23.4077269422
 01/04  17:00:00,169.460011203,7.80032786611,0.0,0.0,80.527626,73.092045,181.999959693,173.034207301,3.20568,5.76007239226
 01/04  18:00:00,129.243318931,7.75353790436,0.0,0.0,80.527626,29.818365,216.534624174,210.439224112,3.20568,2.88972006263
 01/04  19:00:00,129.338333443,7.75353790436,0.0,0.0,80.527626,29.818365,202.234694925,193.25218274,3.20568,5.77683218542
 01/04  20:00:00,129.511276534,7.75353790436,0.0,0.0,80.527626,29.818365,202.170268935,187.407993398,3.20568,11.556595537
 01/04  21:00:00,129.662362513,7.75353790436,0.0,0.0,80.527626,29.818365,224.731524591,215.743327161,3.20568,5.78251742947
 01/04  22:00:00,55.4681828654,0.0,0.0,0.0,15.863942322,29.242365,11.8702104466,0.0,3.20568,8.66453044656
 01/04  23:00:00,55.3623334719,0.0,0.0,0.0,15.863942322,29.242365,8.9691830092,0.0,3.20568,5.7635030092
 01/04  24:00:00,56.1574239847,0.0,0.0,0.0,15.863942322,29.242365,6.09457157682,0.0,3.20568,2.88889157682
 01/05  01:00:00,55.3909372798,0.0,0.0,0.0,15.863942322,29.242365,6.09088038199,0.0,3.20568,2.88520038199
 01/05  02:00:00,55.3886912671,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/05  03:00:00,55.3804253746,0.0,0.0,0.0,15.863942322,29.242365,6.0907624635,0.0,3.20568,2.8850824635
 01/05  04:00:00,55.3744596015,0.0,0.0,0.0,15.863942322,29.242365,6.09092019206,0.0,3.20568,2.88524019206
 01/05  05:00:00,56.2314975813,0.645435547759,0.0,0.0,15.863942322,29.242365,6.42156316601,0.330622070358,3.20568,2.88526109565
 01/05  06:00:00,56.932831534,1.3603484481,0.0,0.0,15.863942322,29.242365,3.93828323757,0.712603237575,3.20568,0.02
 01/05  07:00:00,65.5239115598,7.75353790436,0.00443468680956,0.0,15.863942322,29.818365,417.329792048,411.238831336,3.20568,2.88528071162
 01/05  08:00:00,125.330221449,7.75353790436,0.0,0.0,80.527626,29.818365,341.044451494,334.948828467,3.20568,2.88994302625
 01/05  09:00:00,165.915308295,7.75353790436,0.0100077593159,0.0,80.527626,75.0917375,232.203894037,193.676281253,24.0426,14.4850127842
 01/05  10:00:00,165.659781012,7.75353790436,0.00388699570458,0.0,80.527626,75.0917375,151.754488303,107.264997295,24.0426,20.4468910084
 01/05  11:00:00,169.90581213,8.06972896551,0.00467242709871,0.0,80.527626,79.0911225,121.174413427,65.7237249967,32.0568,23.39388843
 01/05  12:00:00,171.737975867,8.9856557205,0.21335578257,0.0,80.527626,79.0911225,77.2034504764,18.7517991678,32.0568,26.3948513086
 01/05  13:00:00,171.959458306,9.65690331712,0.483078096807,0.0,80.527626,79.0911225,67.2848796403,8.76860478218,32.0568,26.4594748582
 01/05  14:00:00,167.536182964,9.69551129976,0.0,0.0,80.527626,75.0917375,69.3300970419,23.8639883774,16.0284,29.4377086645
 01/05  15:00:00,167.366076685,9.52527020524,0.0,0.0,80.527626,75.0917375,69.7632736145,30.3570260162,16.0284,23.3778475983
 01/05  16:00:00,164.59222206,8.75829284288,0.0,0.0,80.527626,73.092045,85.86442771,59.2508129254,3.20568,23.4079347845
 01/05  17:00:00,169.26407262,7.77383926878,0.0,0.0,80.527626,73.092045,111.303428054,105.207831282,3.20568,2.88991677203
 01/05  18:00:00,128.845827658,7.75353790436,0.0,0.0,80.527626,29.818365,130.749124957,121.78344373,3.20568,5.76000122673
 01/05  19:00:00,128.857780475,7.75353790436,0.0,0.0,80.527626,29.818365,136.209296637,127.22652304,3.20568,5.77709359709
 01/05  20:00:00,129.117888155,7.75353790436,0.0,0.0,80.527626,29.818365,157.230793089,145.353413778,3.20568,8.67169931186
 01/05  21:00:00,129.120085317,7.75353790436,0.0,0.0,80.527626,29.818365,161.405249872,149.536285564,3.20568,8.66328430748
 01/05  22:00:00,55.5100877896,0.0,0.0,0.0,15.863942322,29.242365,11.8706861205,0.0,3.20568,8.66500612046
 01/05  23:00:00,55.4070325883,0.0,0.0,0.0,15.863942322,29.242365,6.09750927527,0.0,3.20568,2.89182927527
 01/05  24:00:00,56.1892075384,0.0,0.0,0.0,15.863942322,29.242365,8.96376892536,0.0,3.20568,5.75808892536
 01/06  01:00:00,55.456668778,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/06  02:00:00,55.4581211483,0.0,0.0,0.0,15.863942322,29.242365,6.09092901713,0.0,3.20568,2.88524901713
 01/06  03:00:00,55.4364297562,0.0,0.0,0.0,15.863942322,29.242365,6.09081472727,0.0,3.20568,2.88513472727
 01/06  04:00:00,55.4342302594,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/06  05:00:00,56.5000672276,0.0,0.0,0.0,15.863942322,29.242365,6.09097658272,0.0,3.20568,2.88529658272
 01/06  06:00:00,56.3257617566,0.0,0.0,0.0,15.863942322,29.242365,6.09086205103,0.0,3.20568,2.88518205103
 01/06  07:00:00,65.0130253574,7.75353790436,0.00345539987594,0.0,15.863942322,29.818365,320.997132161,314.9063846,3.20568,2.88506756106
 01/06  08:00:00,124.810052254,7.75353790436,0.00106562879401,0.0,80.527626,29.818365,234.406897744,228.311509114,3.20568,2.88970862929
