Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.6559627509,2.31212831049,0.0,0.0,1.85583932782,5.577,84.4041285825,79.0899519951,3.0011,2.31307658742
 01/01  02:00:00,9.45063772011,0.0,0.0,0.0,0.618613109274,5.0,3.59318954979,0.0,3.0011,0.592089549787
 01/01  03:00:00,9.46251560205,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  04:00:00,9.47368203029,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.62284388914,0.0,0.0,0.0,0.618613109274,5.0,3.59316961308,0.0,3.0011,0.592069613076
 01/01  06:00:00,13.7964488958,2.31212831049,0.0,0.0,1.85583932782,5.577,96.1603572711,91.6387072711,4.50165,0.02
 01/01  07:00:00,28.2792293383,2.31212831049,0.0,0.0,3.71167865564,18.077,93.6245178396,78.3815546201,13.50495,1.73801321949
 01/01  08:00:00,26.9630913448,2.31212831049,0.0,0.0,3.71167865564,18.077,94.1750587115,71.4290867267,21.0077,1.73827198481
 01/01  09:00:00,20.6983789191,2.31212831049,0.0,0.0,3.71167865564,13.077,86.6817070032,69.9377622272,15.0055,1.73844477601
 01/01  10:00:00,20.7085223861,2.31212831049,0.0,0.0,3.71167865564,13.077,81.7601234927,65.0160536179,15.0055,1.73856987479
 01/01  11:00:00,25.7011316037,2.31212831049,0.0,0.0,3.71167865564,18.077,93.3330188303,55.1293721021,33.0121,5.19154672824
 01/01  12:00:00,26.8597974588,2.31212831049,0.0,0.0,3.71167865564,18.077,91.7318068103,46.0261405525,40.51485,5.19081625782
 01/01  13:00:00,25.9237124402,2.31212831049,0.0,0.0,3.71167865564,18.077,81.2598437451,41.2086456445,36.0132,4.03799810054
 01/01  14:00:00,25.722515613,2.31212831049,0.0,0.0,3.71167865564,18.077,74.8683343958,39.3190825484,31.51155,4.03770184746
 01/01  15:00:00,20.7235832509,2.31212831049,0.0,0.0,3.71167865564,13.077,62.1658662834,38.2708488575,21.0077,2.88731742598
 01/01  16:00:00,20.7097081764,2.31212831049,0.0,0.0,3.71167865564,13.077,63.3079871785,40.3397243971,19.50715,3.46111278131
 01/01  17:00:00,22.5250668335,2.31212831049,0.0,0.0,3.71167865564,13.077,72.5355437082,47.1395485267,22.50825,2.88774518156
 01/01  18:00:00,28.1589366183,2.31212831049,0.0,0.0,3.71167865564,18.077,78.5889774507,49.0411294278,25.50935,4.0384980229
 01/01  19:00:00,28.1620467375,2.31212831049,0.0,0.0,3.71167865564,18.077,83.1900905207,52.4901944344,25.50935,5.19054608627
 01/01  20:00:00,28.3046265835,2.31212831049,0.0,0.0,3.71167865564,18.077,86.9082443441,56.7824819828,25.50935,4.61641236131
 01/01  21:00:00,23.291132323,2.31212831049,0.0,0.0,3.71167865564,13.077,84.5060295755,57.3860556761,22.50825,4.61172389938
 01/01  22:00:00,23.2288429306,2.31212831049,0.0,0.0,3.71167865564,13.077,83.884013622,58.2615645422,21.0077,4.61474907987
