Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,168.936834005,50.8038861673,0.0,0.0,43.513341876,52.539744,406.293034129,401.438774129,4.83426,0.02
 01/01  02:00:00,166.690249466,48.7222704275,0.0,0.0,43.513341876,52.539744,356.604409735,351.750149735,4.83426,0.02
 01/01  03:00:00,178.169963878,59.7799433863,0.0,0.0,43.513341876,52.539744,507.798105796,502.943845796,4.83426,0.02
 01/01  04:00:00,164.777734478,46.7572047934,0.0,0.0,43.513341876,52.539744,332.857627639,328.003367639,4.83426,0.02
 01/01  05:00:00,178.95522398,60.0606670483,0.0,0.0,43.513341876,52.539744,522.670123349,509.221485876,4.83426,8.61437747283
 01/01  06:00:00,165.844126884,47.3186521175,0.0,0.0,43.513341876,52.539744,366.280998022,361.426738022,4.83426,0.02
 01/01  07:00:00,179.031122304,60.0606670483,0.0,0.0,43.513341876,52.539744,517.491547574,512.637287574,4.83426,0.02
 01/01  08:00:00,155.167228813,45.9150338074,0.0,0.0,43.513341876,52.539744,265.507345804,260.653085804,4.83426,0.02
 01/01  09:00:00,151.360491732,50.8532684789,0.0,0.0,43.513341876,52.539744,333.686974657,320.229874559,4.83426,8.62284009817
 01/01  10:00:00,139.964554852,39.7814749508,0.0,0.0,43.513341876,52.539744,186.100403523,181.246143523,4.83426,0.02
 01/01  11:00:00,137.913457682,37.6898819861,0.0,0.0,43.513341876,52.539744,210.280036371,205.425776371,4.83426,0.02
 01/01  12:00:00,136.798671082,35.8838583076,0.0,0.0,43.513341876,52.539744,126.130684009,112.673432186,4.83426,8.62299182258
 01/01  13:00:00,118.4158859,18.4565989827,0.0,0.0,43.513341876,52.539744,133.532510953,128.678250953,4.83426,0.02
 01/01  14:00:00,128.744777232,28.8666096746,0.0,0.0,43.513341876,52.539744,76.139848805,71.285588805,4.83426,0.02
 01/01  15:00:00,112.74195626,12.8224441441,0.0,0.0,43.513341876,52.539744,86.5268470261,81.6725870261,4.83426,0.02
 01/01  16:00:00,115.782845096,15.9701881659,0.0,0.0,43.513341876,52.539744,66.5470369905,53.0983681409,4.83426,8.61440884963
 01/01  17:00:00,133.957853106,19.315107192,0.0,0.0,43.513341876,52.539744,99.7523784697,94.8981184697,4.83426,0.02
 01/01  18:00:00,147.420605077,29.8272520158,0.0,0.0,43.513341876,52.539744,93.3805089985,88.5262489985,4.83426,0.02
 01/01  19:00:00,150.037207534,32.3105273601,0.0,0.0,43.513341876,52.539744,163.919377702,159.065117702,4.83426,0.02
 01/01  20:00:00,145.922978294,27.8254650646,0.0,0.0,43.513341876,52.539744,150.630917272,137.18230541,4.83426,8.61435186263
 01/01  21:00:00,154.524726748,36.2646137132,0.0,0.0,43.513341876,52.539744,232.061557208,227.207297208,4.83426,0.02
 01/01  22:00:00,169.479125379,51.4765549132,0.0,0.0,43.513341876,52.539744,253.502958939,248.648698939,4.83426,0.02
 01/01  23:00:00,168.189474674,50.2300178815,0.0,0.0,43.513341876,52.539744,344.601314642,339.747054642,4.83426,0.02
 01/01  24:00:00,169.373867754,50.6343839271,0.0,0.0,43.513341876,52.539744,253.668568715,248.814308715,4.83426,0.02
 01/02  01:00:00,170.577692633,52.55173102,0.0,0.0,43.513341876,52.539744,364.923500949,351.466193996,4.83426,8.62304695288
 01/02  02:00:00,170.653418422,52.8625225117,0.0,0.0,43.513341876,52.539744,266.941592603,262.087332603,4.83426,0.02
 01/02  03:00:00,166.384354468,48.34087609,0.0,0.0,43.513341876,52.539744,318.228381607,313.374121607,4.83426,0.02
 01/02  04:00:00,167.157391974,49.3887781596,0.0,0.0,43.513341876,52.539744,251.825820983,238.368494829,4.83426,8.62306615446
 01/02  05:00:00,165.380132798,46.9549084914,0.0,0.0,43.513341876,52.539744,296.70191379,291.84765379,4.83426,0.02
 01/02  06:00:00,162.628354587,44.493764786,0.0,0.0,43.513341876,52.539744,201.934130751,197.079870751,4.83426,0.02
 01/02  07:00:00,198.687005394,73.7503529965,0.0,0.0,43.513341876,53.238744,2771.7620102,2758.30472413,4.83426,8.62302606502
 01/02  08:00:00,366.654957495,73.7503529965,0.0,0.0,220.879908,53.238744,2104.74485722,2073.43092234,4.83426,26.4796748882
 01/02  09:00:00,446.969426006,73.7503529965,0.0024694960522,0.0,220.879908,145.652643033,1540.91551845,1469.05327621,36.25695,35.6052922351
 01/02  10:00:00,446.31573307,73.7503529965,0.00202568951775,0.0,220.879908,145.652643033,1458.0329283,1367.64544899,36.25695,54.1305293046
 01/02  11:00:00,452.095795238,73.7503529965,0.00132834139487,0.0,220.879908,151.653867033,1372.5960385,1270.04548755,48.3426,54.2079509507
 01/02  12:00:00,452.854394024,73.7503529965,0.0,0.0,220.879908,151.653867033,1225.7873657,1122.97162655,48.3426,54.4731391543
 01/02  13:00:00,451.618636828,73.7503529965,0.0,0.0,220.879908,151.653867033,1138.45212717,1026.32663295,48.3426,63.7828942128
 01/02  14:00:00,445.501731791,73.7503529965,0.0,0.0,220.879908,145.652643033,1071.36753117,983.274576973,24.1713,63.9216541997
 01/02  15:00:00,445.416670765,73.7503529965,0.0,0.0,220.879908,145.652643033,1025.42334272,947.100481847,24.1713,54.1515608688
 01/02  16:00:00,437.602505992,73.7503529965,0.0,0.0,220.879908,137.835547516,970.953729502,911.855531946,4.83426,54.2639375557
 01/02  17:00:00,448.151900903,73.7503529965,0.0,0.0,220.879908,133.019064,1050.06692261,1000.430703,4.83426,44.8019596062
 01/02  18:00:00,372.227662212,73.7503529965,0.0,0.0,220.879908,53.238744,1258.03798755,1208.41021451,4.83426,44.7935130377
 01/02  19:00:00,372.931193347,73.7503529965,0.0,0.0,220.879908,53.238744,1444.15648636,1394.32110169,4.83426,45.0011246665
 01/02  20:00:00,373.341895813,73.7503529965,0.0,0.0,220.879908,53.238744,1482.59880634,1460.3642497,4.83426,17.4002966406
 01/02  21:00:00,373.308449277,73.7503529965,0.0,0.0,220.879908,53.238744,1454.73961615,1441.2084253,4.83426,8.69693085487
 01/02  22:00:00,119.161093343,1.58863050529,0.0,0.0,43.513341876,52.539744,23.73634182,1.52722625308,4.83426,17.3748555669
 01/02  23:00:00,118.911973382,1.51298143361,0.0,0.0,43.513341876,52.539744,6.74943116971,1.89517116971,4.83426,0.02
 01/02  24:00:00,120.411046294,1.89122679201,0.0,0.0,43.513341876,52.539744,17.0024681428,3.5278477,4.83426,8.64036044276
 01/03  01:00:00,122.387409273,4.91399944228,0.0,0.0,43.513341876,52.539744,9.66730894593,4.81304894593,4.83426,0.02
 01/03  02:00:00,122.183006932,4.70507114399,0.0,0.0,43.513341876,52.539744,20.9778058222,7.52047113665,4.83426,8.62307468551
 01/03  03:00:00,122.500679151,5.03028687359,0.0,0.0,43.513341876,52.539744,12.6068010578,7.75254105775,4.83426,0.02
 01/03  04:00:00,122.188185662,4.70507114399,0.0,0.0,43.513341876,52.539744,15.6930235779,10.8387635779,4.83426,0.02
 01/03  05:00:00,124.64091126,5.03028687359,0.0,0.0,43.513341876,52.539744,25.6007152672,12.1433108233,4.83426,8.62314444395
 01/03  06:00:00,123.973460911,4.70507114399,0.0,0.0,43.513341876,52.539744,20.7357911389,15.8815311389,4.83426,0.02
 01/03  07:00:00,197.918604753,73.7503529965,0.0,0.0,43.513341876,53.238744,2139.39552981,2134.54126981,4.83426,0.02
 01/03  08:00:00,363.909060097,73.7503529965,0.000613290446424,0.0,220.879908,53.238744,1635.76590941,1595.63254175,4.83426,35.2991076548
 01/03  09:00:00,445.977364876,73.7503529965,0.00278923962247,0.0,220.879908,145.652643033,1246.84837138,1174.98465578,36.25695,35.6067655966
 01/03  10:00:00,445.262428719,73.7503529965,0.00266084587594,0.0,220.879908,145.652643033,938.590812594,848.211876098,36.25695,54.1219864961
 01/03  11:00:00,450.965925213,73.7575845425,0.00164605507286,0.0,220.879908,151.653867033,751.359042636,648.812343325,48.3426,54.2040993118
 01/03  12:00:00,452.130349508,74.0039107517,0.0,0.0,220.879908,151.653867033,662.176792445,559.369753609,48.3426,54.4644388359
 01/03  13:00:00,452.043999015,74.8889827479,0.0,0.0,220.879908,151.653867033,611.337097832,499.199411221,48.3426,63.795086611
 01/03  14:00:00,446.505593373,75.3466371486,0.0,0.0,220.879908,145.652643033,556.577933717,468.476485567,24.1713,63.9301481501
 01/03  15:00:00,446.181123342,75.0518035125,0.0,0.0,220.879908,145.652643033,527.369198994,449.05190996,24.1713,54.1459890337
 01/03  16:00:00,437.929093556,74.6103636691,0.0,0.0,220.879908,137.835547516,557.417871766,498.321930896,4.83426,54.2616808695
 01/03  17:00:00,447.012689988,73.7589307588,0.0,0.0,220.879908,133.019064,546.952516025,497.318652042,4.83426,44.7996039823
 01/03  18:00:00,370.236362447,73.7503529965,0.0,0.0,220.879908,53.238744,656.958125726,607.32445676,4.83426,44.799408966
 01/03  19:00:00,370.317288989,73.7503529965,0.0,0.0,220.879908,53.238744,721.49299495,671.646607493,4.83426,45.0121274569
 01/03  20:00:00,370.3469492,73.7503529965,0.0,0.0,220.879908,53.238744,738.446943013,716.211043397,4.83426,17.4016396155
 01/03  21:00:00,370.261783042,73.7503529965,0.0,0.0,220.879908,53.238744,673.081231663,659.549651147,4.83426,8.69732051623
