Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,59.2396642834,6.4836537841,0.00156837408615,22.1877967768,12.925468867,10.100111941,75.7385047151,69.967862052,0.0,5.77064266308
 01/01  02:00:00,64.4346363316,6.6602950434,0.0,27.2089598998,12.925468867,10.100111941,79.4401600485,79.4201600485,0.0,0.02
 01/01  03:00:00,62.1104487616,6.74859241113,0.0,29.4155102892,8.34152022915,10.0650221343,85.9286299489,80.1653347252,0.0,5.76329522366
 01/01  04:00:00,62.453074612,6.76571258886,0.0,29.741014797,8.34152022915,10.0650221343,83.098814816,77.3357270998,0.0,5.76308771619
 01/01  05:00:00,65.9032043774,6.83044459997,0.0,31.5196495292,8.34152022915,11.6705166398,84.3323333714,78.5616379693,0.0,5.77069540203
 01/01  06:00:00,72.5214710619,6.91471726678,0.0,33.8951885544,8.80141237637,15.3678112995,86.6505082037,80.8719476341,0.0,5.77856056969
 01/01  07:00:00,88.2600037698,6.7523002945,0.0,29.8192392919,18.5082010057,25.6353820695,86.1313357687,74.5641525208,0.0,11.5671832478
 01/01  08:00:00,95.3022354281,6.52971800337,0.0,24.3965321322,19.4926561212,41.1001056674,86.859369993,69.4033129249,0.0,17.4560570681
 01/01  09:00:00,108.377080958,6.26763705285,0.0910941768782,17.6524167885,26.3286599382,57.9988325916,98.9306797498,57.2364189057,0.0,41.6942608441
 01/01  10:00:00,95.0137941277,6.29919609987,1.57273576279,18.0500834563,26.2443270014,42.8153538416,105.539132654,52.0143686895,18.025,35.4997639643
 01/01  11:00:00,71.7771601452,6.33831103307,1.91096855788,18.3111616869,21.7447113004,23.4437158914,94.4710806913,46.9746258289,18.025,29.4714548624
 01/01  12:00:00,67.1006095729,6.26718090178,2.06636618771,15.9526763001,19.3449162599,23.4437158914,89.5706955729,42.1566122427,18.025,29.3890833303
 01/01  13:00:00,64.1444837454,6.16849030055,1.95887007432,13.0608692509,19.190480192,23.7425572507,80.2423171501,38.7738150691,18.025,23.4435020809
 01/01  14:00:00,62.2954898578,6.10655649074,2.01275462953,11.1938032611,19.260583323,23.698576057,76.0844094164,34.612837358,18.025,23.4465720584
 01/01  15:00:00,60.0188307276,6.03475129507,2.13940352039,8.86229679911,19.260583323,23.698576057,72.5397073575,31.0622015089,18.025,23.4525058486
 01/01  16:00:00,59.6110316327,6.03326637064,2.09988114176,8.78545754063,19.260583323,23.4086260847,80.5984959873,33.2709448513,18.025,29.302551136
 01/01  17:00:00,70.6127652986,6.09704554057,1.13747103172,10.5824867574,19.260583323,27.8781056672,62.4282925288,38.6325621004,18.025,5.77073042836
 01/01  18:00:00,79.3695088465,6.06518690187,0.0437114962469,9.958222548,18.1807569449,37.5792895564,48.3278180025,42.5494342306,0.0,5.77838377185
 01/01  19:00:00,92.1260336644,6.01794324823,0.0903717929738,8.82160197707,32.6059821062,37.0465235296,56.5356417317,50.7497268414,0.0,5.78591489033
 01/01  20:00:00,92.2793643288,6.01601607036,0.235096272745,8.60074617173,36.8143715336,33.066984531,66.9933331373,55.4112181379,0.0,11.5821149994
 01/01  21:00:00,96.5817893494,6.01095340621,0.609184907375,7.17464447241,36.43363367,38.8072253906,66.9057228154,55.3241112236,0.0,11.5816115917
 01/01  22:00:00,94.8326897261,6.03332129693,0.642903255946,7.7261679417,36.0963922311,36.7877557581,68.0244497517,56.4418540055,0.0,11.5825957462
 01/01  23:00:00,77.1244783194,6.10571561835,0.0461958569718,11.8617877349,30.9507766546,20.6087787026,75.7281171829,58.2745216341,0.0,17.4535955488
 01/01  24:00:00,59.0431303605,6.27155966204,0.0136366499525,16.082361691,17.4250845679,11.7056064465,69.9079974152,58.3416828232,0.0,11.566314592
 01/02  01:00:00,54.1376069183,6.36440770103,0.00358908037497,18.5222717453,11.6412384099,10.0650221343,65.1359848011,59.3650716763,0.0,5.77091312482
 01/02  02:00:00,54.4890146839,6.43523008164,0.0,20.3672983744,10.0992000411,10.047477231,65.8211557385,60.0576725668,0.0,5.76348317171
 01/02  03:00:00,52.7792290241,6.44831101442,0.0,20.5039911307,8.25718729233,10.0299323277,56.8664078586,56.8464078586,0.0,0.02
 01/02  04:00:00,52.6868422965,6.45026867259,0.0,20.409645966,8.25718729233,10.0299323277,60.2579479492,54.494653202,0.0,5.76329474722
 01/02  05:00:00,54.2663824901,6.45156325737,0.0,20.3811272067,8.25718729233,11.6354268332,59.4703987126,53.6994684568,0.0,5.77093025583
 01/02  06:00:00,60.127998933,6.39218959711,0.0,18.7219796691,12.1011305571,15.3678112995,61.1294790768,49.5621019569,0.0,11.5673771198
 01/02  07:00:00,83.0963455845,6.14316251553,0.0234390973958,12.3868501164,19.7275818095,37.2640762949,63.1495725621,45.6930426493,0.0,17.4565299128
 01/02  08:00:00,92.8317428204,5.98405827178,0.250273226491,7.21777152695,24.3117294858,51.2795993405,59.551799928,36.1603521831,0.0,23.3914477449
 01/02  09:00:00,80.0101761357,6.04218460212,0.490723233897,9.14149385627,23.6694662846,40.6342015617,59.7362168535,24.2331561499,0.0,35.5030607036
 01/02  10:00:00,76.5981320917,6.03267187584,2.43914826908,8.79832979725,23.6694662846,35.6302164847,70.0053984261,22.5149249188,18.025,29.4654735073
 01/02  11:00:00,60.1740177496,6.07329722182,2.63440699961,9.73533690117,18.7433767983,22.9618409725,69.5564911471,22.1378751357,18.025,29.3936160114
 01/02  12:00:00,58.9776963091,6.03243888314,2.69011787467,8.52670149018,18.7433767983,22.9618409725,62.5349504572,21.0545961502,18.025,23.4553543069
 01/02  13:00:00,57.3924772444,5.98216477598,2.54617264393,7.09225459945,18.5889407304,23.1597249699,60.5239220211,19.04874285,18.025,23.4501791711
 01/02  14:00:00,56.7000052921,5.95078036091,2.52225895613,6.20857450591,18.7433767983,23.2517909448,60.4285399121,17.1626043569,18.025,25.2409355553
 01/02  15:00:00,55.7472014827,5.91802364513,2.53076852152,5.28002254509,18.7433767983,23.2517909448,61.8494433339,16.3083850932,18.025,27.5160582407
 01/02  16:00:00,54.5201652189,5.8804903396,2.53249786312,4.37874049574,18.7433767983,22.9618409725,58.8665356469,17.3947735439,18.025,23.4467621029
 01/02  17:00:00,64.3699519604,5.90418629348,1.64861261592,4.98537479185,18.7433767983,27.431320555,44.3937491225,20.5979711044,18.025,5.77077801809
 01/02  18:00:00,75.3330315807,5.84925299138,0.0544500024858,3.52500744263,17.6635504202,40.6971502883,35.503933598,23.9517814333,0.0,11.5521521647
 01/02  19:00:00,81.6885368644,5.84172263324,0.0876729308923,3.34926920455,27.5259009287,37.3340067412,44.5293033,32.9010189601,0.0,11.6282843399
 01/02  20:00:00,83.4541054786,5.83489842961,0.251695816987,2.63277504743,33.8341110165,33.3544677425,46.2105990055,34.6277918032,0.0,11.5828072024
 01/02  21:00:00,91.2666808241,5.88016377487,0.873610713596,1.62401509072,36.5179666069,38.8247702939,47.2682000471,35.688077015,0.0,11.5801230321
 01/02  22:00:00,85.9986679774,5.91578524357,1.15112028452,1.55725341508,32.965339924,36.8579353714,53.965861687,36.5109409929,0.0,17.4549206941
 01/02  23:00:00,63.571067723,5.86321561488,0.181264783081,3.69972234147,25.6355707503,20.6438685092,47.9928700435,36.3945909348,0.0,11.5982791087
 01/02  24:00:00,47.0909062121,5.96700325372,0.045363774796,6.80529471589,15.0252895274,11.7056064465,46.7786606331,36.2743433145,0.0,10.5043173186
 01/03  01:00:00,43.687007424,6.02596675269,0.0363656206398,8.37733298739,11.6412384099,10.0650221343,44.0559775051,37.254503223,0.0,6.8014742821
 01/03  02:00:00,42.5535410685,6.04385557335,0.0312741930163,8.79192388036,10.0992000411,10.047477231,35.7774569594,35.7574569594,0.0,0.02
 01/03  03:00:00,40.6958385508,6.04539743192,0.02664117719,8.79686868604,8.25718729233,10.0299323277,39.1281374853,33.3646905728,0.0,5.76344691246
 01/03  04:00:00,40.6308059227,6.04300800948,0.02281562563,8.73805083577,8.25718729233,10.0299323277,37.9932647456,32.2300081811,0.0,5.76325656446
 01/03  05:00:00,42.1592703164,6.04073345836,0.019044373256,8.66579672255,8.25718729233,11.6354268332,37.7790936804,32.0081745281,0.0,5.77091915228
 01/03  06:00:00,49.3093622027,6.02405535662,0.0190006021668,8.25247229502,12.1011305571,15.3678112995,43.3106564649,31.7438302303,0.0,11.5668262346
 01/03  07:00:00,75.0478794291,5.8817362064,0.0681558758372,4.5550862672,19.7275818095,37.2640762949,45.1038382036,33.4602120331,0.0,11.6436261705
 01/03  08:00:00,88.0394994692,5.89501827711,0.976657992475,1.78816881837,24.3117294858,51.2795993405,53.1364616189,29.7434321952,0.0,23.3930294237
 01/03  09:00:00,74.1090269959,5.85733121594,0.860436534917,3.0554756033,23.6694662846,40.6342015617,55.7449892551,20.2355084584,0.0,35.5094807967
 01/03  10:00:00,71.1002271972,5.9019381821,3.46016064991,2.41013872955,23.6694662846,35.6302164847,61.056133053,13.5611298955,18.025,29.4700031576
 01/03  11:00:00,53.9417371618,5.90794890184,3.76897206006,2.53383486785,18.7433767983,22.9618409725,57.4524845648,10.0316694483,18.025,29.3958151165
 01/03  12:00:00,54.0028809584,5.95422569535,4.22149070887,2.09872237764,18.7433767983,22.9618409725,55.6507438454,8.31171598441,18.025,29.314027861
 01/03  13:00:00,53.7872826625,5.97381579431,4.52781140235,1.51376667544,18.5889407304,23.1597249699,48.7227957937,7.25250321377,18.025,23.4452925799
 01/03  14:00:00,53.4819205992,5.96784578974,4.47902900904,1.01665505356,18.7433767983,23.2517909448,44.8754561969,3.3998343981,18.025,23.4506217988
 01/03  15:00:00,53.0811562248,5.94433606103,4.44373526432,0.674690343602,18.7433767983,23.2517909448,44.3240232152,2.84395010923,18.025,23.4550731059
 01/03  16:00:00,52.291361788,5.89860844399,4.08704330989,0.577269466686,18.7433767983,22.9618409725,53.4095773479,6.0785223933,18.025,29.3060549546
 01/03  17:00:00,61.0192636781,5.84499332881,2.81051396011,0.531978097488,18.7433767983,27.431320555,32.8867575097,9.09126024321,18.025,5.77049726648
 01/03  18:00:00,73.5521272041,5.90318529026,1.55211701076,0.192504154946,17.6635504202,40.6971502883,16.0285615151,10.2427930835,0.0,5.78576843159
 01/03  19:00:00,80.4449755275,5.95095648618,1.97975608418,0.104380188831,27.5259009287,37.3340067412,31.8615158859,14.4284977781,0.0,17.4330181079
 01/03  20:00:00,83.0646710499,6.00161924288,2.28914262185,0.0391686696049,33.8341110165,33.3544677425,27.4854592439,15.9029816019,0.0,11.582477642
 01/03  21:00:00,92.3099772768,6.14912723454,3.26118931275,0.010761474619,36.5179666069,38.8247702939,28.0226692949,16.4405446543,0.0,11.5821246406
 01/03  22:00:00,87.1029481146,6.20278647114,3.49650460918,0.0291362318029,32.965339924,36.8579353714,34.9319707368,17.4748916574,0.0,17.4570790795
 01/03  23:00:00,61.5795423253,5.95188167096,1.65524412969,0.145544788339,25.6355707503,20.6438685092,34.5632990343,22.9649593248,0.0,11.5983397095
 01/03  24:00:00,41.2775356448,5.83476133119,0.741129314999,0.428398244888,15.0252895274,11.7056064465,30.7838899107,25.0052844433,0.0,5.77860546735
 01/04  01:00:00,36.3092350162,5.81597902165,0.552775835117,0.69313500507,11.6412384099,10.0650221343,29.4517862763,23.6807659254,0.0,5.77102035092
 01/04  02:00:00,35.2671448229,5.8156021815,0.380902130287,1.3841488639,10.0992000411,10.047477231,30.9309843892,25.1677738895,0.0,5.76321049971
 01/04  03:00:00,33.7102597729,5.81069774436,0.235675261602,1.83695281246,8.25718729233,10.0299323277,31.19343196,25.4299417108,0.0,5.7634902492
 01/04  04:00:00,33.9633002721,5.81114466111,0.147633393959,2.17758965264,8.25718729233,10.0299323277,31.998928073,26.2360681067,0.0,5.7628599663
 01/04  05:00:00,35.5673856426,5.80748533215,0.116040083438,2.21016147236,8.25718729233,11.6354268332,30.6390033538,24.8687799995,0.0,5.77022335431
 01/04  06:00:00,42.9314361282,5.808392155,0.20702670013,1.90217832938,12.1011305571,15.3678112995,27.2927353772,21.4985965791,0.0,5.79413879817
 01/04  07:00:00,72.6344710788,5.96065320865,1.64587161325,0.485035110781,19.7275818095,37.2640762949,37.3319470244,19.8764865875,0.0,17.4554604369
 01/04  08:00:00,88.8195910441,6.15956010238,3.11384940918,0.166512286212,24.3117294858,51.2795993405,42.1331019573,18.7390481803,0.0,23.3940537771
 01/04  09:00:00,73.4267137029,5.96873335225,2.76172191352,0.360463925573,23.6694662846,40.6342015617,46.462408288,10.9511872956,0.0,35.5112209924
 01/04  10:00:00,70.992189536,6.02803126106,5.32766920737,0.308496397895,23.6694662846,35.6302164847,54.1374654534,6.64046882275,18.025,29.4719966307
 01/04  11:00:00,53.3394795243,6.00055022188,5.22409041148,0.383851026754,18.7433767983,22.9618409725,53.3103176003,5.88811861496,18.025,29.3971989853
 01/04  12:00:00,53.6047800763,6.04681506011,5.50955067911,0.319969614968,18.7433767983,22.9618409725,46.1889848287,4.70814887788,18.025,23.4558359508
 01/04  13:00:00,53.8522856546,6.087280916,5.74487743288,0.24823217085,18.5889407304,23.1597249699,52.7777971325,5.4389949494,18.025,29.3138021831
 01/04  14:00:00,54.0827706991,6.11696784907,5.77037646663,0.177034478207,18.7433767983,23.2517909448,43.7158383076,2.24195439674,18.025,23.4488839109
 01/04  15:00:00,53.8257396501,6.09841331777,5.56464391714,0.144287463693,18.7433767983,23.2517909448,44.5131364708,3.03639758009,18.025,23.4517388907
 01/04  16:00:00,52.8056747667,6.02613088564,4.90221512965,0.148880524056,18.7433767983,22.9618409725,55.1902092731,7.85204675312,18.025,29.31316252
 01/04  17:00:00,61.3281722447,5.94006228041,3.39134530558,0.164986806967,18.7433767983,27.431320555,35.9141592774,12.1181425974,18.025,5.77101668002
