Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,92.7440841685,17.9104680472,0.0,0.0,3.49369000822,6.81298672936,73.6021743054,71.8309243054,1.75125,0.02
 01/01  02:00:00,97.1379604009,22.6406442827,0.0,0.0,3.49369000822,6.81298672936,101.256617118,99.4853671184,1.75125,0.02
 01/01  03:00:00,92.6930680154,17.9796883168,0.0,0.0,3.49369000822,6.81298672936,112.485654454,109.570036332,1.75125,1.16436812202
 01/01  04:00:00,98.6859313611,24.3463220632,0.0,0.0,3.49369000822,6.81298672936,150.687475324,148.916225324,1.75125,0.02
 01/01  05:00:00,105.592550999,24.3226815534,0.0,0.0,3.49369000822,6.81298672936,148.153812308,146.382562308,1.75125,0.02
 01/01  06:00:00,98.8020719738,17.9796883168,0.0,0.0,3.49369000822,6.81298672936,125.15094971,122.235367522,1.75125,1.16433218745
 01/01  07:00:00,127.670634352,33.3243459667,0.0,0.0,6.98738001645,14.1499734587,718.249195737,714.726695737,3.5025,0.02
 01/01  08:00:00,130.031465943,33.3243459667,0.0,0.0,6.98738001645,14.1499734587,645.856319771,642.333819771,3.5025,0.02
 01/01  09:00:00,158.931399214,33.3243459667,0.0,0.0,6.98738001645,14.1499734587,556.872569994,552.20560426,3.5025,1.16446573442
 01/01  10:00:00,131.294487938,33.3243459667,0.0,0.0,6.98738001645,14.1499734587,522.973504516,519.451004516,3.5025,0.02
 01/01  11:00:00,165.956785528,33.3243459667,0.0,0.0,27.9495200658,27.7759469175,457.919976027,449.750083481,7.005,1.16489254557
 01/01  12:00:00,197.522510241,33.3243459667,0.0,0.0,27.9495200658,27.7759469175,416.889608944,408.719625784,7.005,1.1649831603
 01/01  13:00:00,204.711687029,33.3243459667,0.0,0.0,41.9242800987,36.8599292233,370.456815847,359.951803444,9.34,1.16501240354
 01/01  14:00:00,201.715939511,33.3243459667,0.0,0.0,41.9242800987,36.8599292233,348.031070538,337.526085655,9.34,1.16498488398
 01/01  15:00:00,197.975194924,33.3243459667,0.0,0.0,41.9242800987,36.8599292233,323.140634554,312.635738267,9.34,1.16489628681
 01/01  16:00:00,194.578990269,33.3243459667,0.0,0.0,41.9242800987,36.8599292233,323.964651036,313.459570177,9.34,1.16508085979
 01/01  17:00:00,204.752391896,33.3243459667,0.0,0.0,41.9242800987,36.8599292233,351.08561327,340.580508593,9.34,1.16510467686
 01/01  18:00:00,179.665163563,33.3243459667,0.0,0.0,27.9495200658,27.7759469175,426.668836373,418.49884611,7.005,1.16499026282
